model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_last,correct_translate_sp_eng_last,total_translate_sp_eng_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_translate_sp_eng_last,True,,False,0.0,0,178,0.0,0,178,8.27879213483146,4590.17966406438,0.0003002942130846408,0.0003002942130846408
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_translate_sp_eng_last,True,,False,0.07303370786516854,13,178,0.07303370786516854,13,178,11.556750351123595,191375.08527732268,1.6941765524723414e-05,1.6941765524723414e-05
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_translate_sp_eng_last,True,,False,0.056179775280898875,10,178,0.056179775280898875,10,178,9.377721207865168,28435.133154426807,0.0001774092507783112,0.0001774092507783112
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_translate_sp_eng_last,True,,False,0.08426966292134831,15,178,0.08426966292134831,15,178,10.210257198033707,54762.82253335569,7.45338739824036e-05,7.45338739824036e-05
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_translate_sp_eng_last,True,,False,0.06179775280898876,11,178,0.06179775280898876,11,178,10.313443644662922,90572.54591919761,7.236727461133663e-05,7.236727461133663e-05
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_translate_sp_eng_last,True,,False,0.07303370786516854,13,178,0.07303370786516854,13,178,10.639483848314606,157605.2605002244,7.752452159761964e-05,7.752452159761964e-05
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_translate_sp_eng_last,True,,False,0.0898876404494382,16,178,0.0898876404494382,16,178,10.476299157303371,151270.04349596408,8.505120704240866e-05,8.505120704240866e-05
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_translate_sp_eng_last,True,,False,0.06741573033707865,12,178,0.06741573033707865,12,178,10.705473139044944,107306.92781262286,6.0014277198687024e-05,6.0014277198687024e-05
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_translate_sp_eng_last,True,,False,0.07865168539325842,14,178,0.07865168539325842,14,178,10.869228405898877,113252.20153837638,4.404526676208286e-05,4.404526676208286e-05
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_translate_sp_eng_last,True,,False,0.10674157303370786,19,178,0.10674157303370786,19,178,9.832843223314606,54129.32695527608,0.00014890194023211797,0.00014890194023211797
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_translate_sp_eng_last,True,,False,0.05056179775280899,9,178,0.05056179775280899,9,178,10.584159936797754,135951.5437324812,7.211814683527036e-05,7.211814683527036e-05
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_translate_sp_eng_last,True,,False,0.05056179775280899,9,178,0.05056179775280899,9,178,10.79544856039326,112702.02445869053,4.380924602464478e-05,4.380924602464478e-05
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_translate_sp_eng_last,True,,False,0.09550561797752809,17,178,0.09550561797752809,17,178,10.886433462078651,159351.67472181097,6.360670142864836e-05,6.360670142864836e-05
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_translate_sp_eng_last,True,,False,0.0449438202247191,8,178,0.0449438202247191,8,178,10.03103054775281,62616.31344833562,0.000123672048675556,0.000123672048675556
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_translate_sp_eng_last,True,,False,0.03932584269662921,7,178,0.03932584269662921,7,178,9.516327247191011,29689.588824431474,0.00018026915536535295,0.00018026915536535295
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_translate_sp_eng_last,True,,False,0.0898876404494382,16,178,0.0898876404494382,16,178,11.134743679775282,191175.60477390175,3.8466332528832704e-05,3.8466332528832704e-05
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_translate_sp_eng_last,True,,False,0.07303370786516854,13,178,0.07303370786516854,13,178,11.65721558988764,387118.8160011934,2.8361385818102813e-05,2.8361385818102813e-05
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_translate_sp_eng_last,True,,False,0.07865168539325842,14,178,0.07865168539325842,14,178,11.012969627808989,134552.4875801874,6.102003963120768e-05,6.102003963120768e-05
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_translate_sp_eng_last,True,,False,0.06179775280898876,11,178,0.06179775280898876,11,178,10.760358146067416,141369.59025909472,6.327809630176811e-05,6.327809630176811e-05
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_translate_sp_eng_last,True,,False,0.06741573033707865,12,178,0.06741573033707865,12,178,10.7836639747191,223535.22310865583,7.256078255925917e-05,7.256078255925917e-05
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_translate_sp_eng_last,True,,False,0.1348314606741573,24,178,0.1348314606741573,24,178,10.379674332865168,82406.8302690986,7.30998053622699e-05,7.30998053622699e-05
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_translate_sp_eng_last,True,,False,0.08426966292134831,15,178,0.08426966292134831,15,178,9.20093047752809,37306.41746945759,0.000333754311446996,0.000333754311446996
allenai/OLMo-2-1124-7B,main,compositional_translate_sp_eng_last,True,,False,0.07865168539325842,14,178,0.07865168539325842,14,178,9.68238676264045,66489.93896195975,0.00015237176213040267,0.00015237176213040267
