model,checkpoint,compositional_gerund_upper
allenai/OLMo-2-1124-7B,main,0.9775280898876404
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.7415730337078652
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.949438202247191
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.9382022471910112
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.9719101123595506
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.8370786516853933
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.9382022471910112
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.9550561797752809
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.8707865168539326
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.9662921348314607
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.9044943820224719
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.9550561797752809
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.9157303370786517
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.8426966292134831
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.898876404494382
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.9325842696629213
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.43258426966292135
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.9325842696629213
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.8932584269662921
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.9269662921348315
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.9382022471910112
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.898876404494382
