model,checkpoint,compositional_upper_last
allenai/OLMo-2-1124-7B,main,9.87521701388889
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,9.35861545138889
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,10.602864583333334
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,10.406792534722221
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,10.150390625
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.500325520833334
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,10.77712673611111
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,11.187065972222221
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,9.745008680555555
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,11.398871527777779
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,10.5888671875
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,11.09592013888889
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,10.355794270833334
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,10.583333333333334
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,10.655164930555555
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,11.264973958333334
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.761610243055555
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,11.025824652777779
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,10.1396484375
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,10.846788194444445
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,10.3154296875
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,9.482855902777779
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,8.89431423611111
