model,checkpoint,simple_icl_translate_fr_eng
allenai/OLMo-2-1124-7B,main,6.048203125
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.813816964285714
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,8.068002232142858
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,7.117366071428571
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.231953125
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.682857142857143
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.435825892857142
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,7.276383928571429
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.140613839285714
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.159620535714286
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,7.1515290178571425
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.669174107142856
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.458493303571428
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.247991071428572
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.6911049107142855
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.442087053571429
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,8.147611607142856
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,11.995066964285714
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.829386160714286
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.685580357142857
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.238348214285715
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.4925669642857144
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,6.8956696428571425
