model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_first_upper,correct_first_upper,total_first_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_first_upper,True,,False,0.0,0,36,0.0,0,36,8.417534722222221,5623.342368017892,0.0002872458314347078,0.0002872458314347078
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_first_upper,True,,False,0.8055555555555556,29,36,0.8055555555555556,29,36,9.244249131944445,15707.031263870778,0.00014558779975605218,0.00014558779975605218
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_first_upper,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,6.653754340277778,1237.8804274661702,0.0018084804525926154,0.0018084804525926154
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_first_upper,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.605143229166666,8408.849284972619,0.000258367891247659,0.000258367891247659
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_first_upper,True,,False,1.0,36,36,1.0,36,36,8.47243923611111,6791.030118803681,0.0003578794995496357,0.0003578794995496357
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_first_upper,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,8.431098090277779,7248.464880359573,0.00034967500276284716,0.00034967500276284716
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_first_upper,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.439995659722221,6537.834883411495,0.0002891177893332141,0.0002891177893332141
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_first_upper,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.52907986111111,6949.42133471907,0.00025940105272312966,0.00025940105272312966
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_first_upper,True,,False,1.0,36,36,1.0,36,36,8.92751736111111,10590.208131636948,0.00018453051698658635,0.00018453051698658635
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_first_upper,True,,False,1.0,36,36,1.0,36,36,7.829644097222222,3714.491374607257,0.0006435903703759187,0.0006435903703759187
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_first_upper,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.916341145833333,3790.664405284648,0.0005043837309616477,0.0005043837309616477
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_first_upper,True,,False,1.0,36,36,1.0,36,36,8.38888888888889,5525.056218871559,0.0002893458257697206,0.0002893458257697206
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_first_upper,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.035590277777779,4479.929981478143,0.0004633529502494733,0.0004633529502494733
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_first_upper,True,,False,1.0,36,36,1.0,36,36,7.542209201388889,2582.0179625048454,0.0007171596449129628,0.0007171596449129628
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_first_upper,True,,False,1.0,36,36,1.0,36,36,6.985568576388889,1424.101909120779,0.0012258648812513981,0.0012258648812513981
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_first_upper,True,,False,1.0,36,36,1.0,36,36,7.812934027777778,3751.4442664037906,0.000578055500963672,0.000578055500963672
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_first_upper,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.264214409722221,5780.480505733756,0.00039709249307848314,0.00039709249307848314
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_first_upper,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.918511284722222,4321.3805392375325,0.0004954447435067988,0.0004954447435067988
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_first_upper,True,,False,1.0,36,36,1.0,36,36,8.050347222222221,4375.1696274170845,0.0004483911131359552,0.0004483911131359552
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_first_upper,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.5791015625,2506.214156650243,0.0006613145537125275,0.0006613145537125275
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_first_upper,True,,False,0.8888888888888888,32,36,0.8888888888888888,32,36,8.096354166666666,5154.233840922615,0.00042753970234474915,0.00042753970234474915
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_first_upper,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,7.639539930555555,3055.4405618965066,0.0006818337004649102,0.0006818337004649102
allenai/OLMo-2-1124-7B,main,compositional_first_upper,True,,False,1.0,36,36,1.0,36,36,7.485026041666667,2106.711831168681,0.0006822785695651439,0.0006822785695651439
