model,checkpoint,math
allenai/OLMo-2-1124-7B,main,10.402513885498047
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,10.6630859375
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.98883056640625
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,7.73935546875
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.5723388671875
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,7.9365234375
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,10.22734375
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.685107421875
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,8.6385009765625
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,9.34560546875
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.707958984375
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,10.978955078125
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,8.2455078125
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.810400390625
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.58076171875
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.81240234375
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,8.6392578125
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,10.50947265625
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.274951171875
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.11826171875
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,9.40758056640625
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,9.73583984375
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,8.32470703125
