model,checkpoint,coreference
allenai/OLMo-2-1124-7B,main,6.01492300927639
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,4.46306928396225
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.439453125
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,4.514309686422348
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,4.439977836608887
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,4.361281383037567
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,4.650171643495559
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,4.3237025260925295
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,4.598652851581574
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,4.4320400893688205
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,4.759374076128006
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,4.335038208961487
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,4.388442361354828
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,4.576689872145653
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,4.655312597751617
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,4.631928420066833
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,4.886640894412994
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,4.904040670394897
allenai/OLMo-2-1124-7B,stage1-step851000-tokens3570B,4.758693593740463
allenai/OLMo-2-1124-7B,stage1-step901000-tokens3780B,4.7720102906227115
allenai/OLMo-2-1124-7B,stage1-step928646-tokens3896B,4.7456814527511595
