model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_translate_fr_eng_last,correct_translate_fr_eng_last,total_translate_fr_eng_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_translate_fr_eng_last,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step50000-tokens210B/allenai_OLMo-2-1124-7B_stage1-step50000-tokens210B_compositional_translate_fr_eng_last_translate_fr_eng_last_detailed.jsonl,171.0,0.09941520467836257,17,171,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_translate_fr_eng_last,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step60000-tokens252B/allenai_OLMo-2-1124-7B_stage1-step60000-tokens252B_compositional_translate_fr_eng_last_translate_fr_eng_last_detailed.jsonl,171.0,0.07017543859649122,12,171,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_translate_fr_eng_last,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step70000-tokens294B/allenai_OLMo-2-1124-7B_stage1-step70000-tokens294B_compositional_translate_fr_eng_last_translate_fr_eng_last_detailed.jsonl,171.0,0.10526315789473684,18,171,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_translate_fr_eng_last,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step80000-tokens336B/allenai_OLMo-2-1124-7B_stage1-step80000-tokens336B_compositional_translate_fr_eng_last_translate_fr_eng_last_detailed.jsonl,171.0,0.07017543859649122,12,171,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_translate_fr_eng_last,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step90000-tokens378B/allenai_OLMo-2-1124-7B_stage1-step90000-tokens378B_compositional_translate_fr_eng_last_translate_fr_eng_last_detailed.jsonl,171.0,0.10526315789473684,18,171,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_translate_fr_eng_last,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step110000-tokens462B/allenai_OLMo-2-1124-7B_stage1-step110000-tokens462B_compositional_translate_fr_eng_last_translate_fr_eng_last_detailed.jsonl,171.0,0.05847953216374269,10,171,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_translate_fr_eng_last,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step120000-tokens504B/allenai_OLMo-2-1124-7B_stage1-step120000-tokens504B_compositional_translate_fr_eng_last_translate_fr_eng_last_detailed.jsonl,171.0,0.0935672514619883,16,171,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_translate_fr_eng_last,True,,False,,,0.0935672514619883,16,171,0.0935672514619883,16.0,171.0,11.154856542397662,195260.96583279152,3.550453804191441e-05,3.550453804191441e-05
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_translate_fr_eng_last,True,,False,,,0.06432748538011696,11,171,0.06432748538011696,11.0,171.0,10.695974963450292,142063.82365853127,7.089490243149738e-05,7.089490243149738e-05
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_translate_fr_eng_last,True,,False,,,0.1286549707602339,22,171,0.1286549707602339,22.0,171.0,10.398094846491228,115856.08762770022,9.512420146713692e-05,9.512420146713692e-05
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_translate_fr_eng_last,True,,False,,,0.08187134502923976,14,171,0.08187134502923976,14.0,171.0,10.440012792397662,79524.84523752489,6.53194520465856e-05,6.53194520465856e-05
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_translate_fr_eng_last,True,,False,,,0.12280701754385964,21,171,0.12280701754385964,21.0,171.0,9.465186403508772,55236.45475758525,0.0002605170820492863,0.0002605170820492863
allenai/OLMo-2-1124-7B,main,compositional_translate_fr_eng_last,True,,False,,,0.14619883040935672,25,171,0.14619883040935672,25.0,171.0,9.565423976608187,48438.49516427505,0.0001842184164638593,0.0001842184164638593
