model,checkpoint,basic_arithmetic
allenai/OLMo-2-1124-7B,main,7.59609375
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.70703125
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,4.9662109375
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,5.873046875
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,4.113671875
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.7984375
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,6.06796875
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,5.8056640625
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,6.45703125
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,5.931640625
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,6.90703125
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,7.683203125
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,5.683203125
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,5.14765625
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,5.6615234375
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,5.434765625
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,6.5328125
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,7.4421875
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,5.9134765625
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,4.5890625
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,5.218359375
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,6.275390625
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,4.9525390625
