model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_reverse_upper,correct_reverse_upper,total_reverse_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,10.877387152777779,137371.88648846955,1.4920566786357415e-08,2.8109583664024658e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.527994791666666,25900.139852794295,7.82202822770533e-08,0.0004424846708908837
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,8.149522569444445,44802.436029144745,3.9505421718184665e-08,0.0007364518057963965
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.777777777777778,67214.91893318281,7.593992146322744e-08,0.0010922821753151714
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.765516493055555,15067.352775227158,2.656976641621493e-07,0.0011276423674853324
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.810004340277778,49486.89286448617,5.993071946674061e-07,0.0015233270534781148
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.691731770833333,32567.863644241337,2.3784457505359695e-07,0.0011941271796235217
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.817925347222222,240406.54969497258,1.7088783464282947e-07,0.0015651473867167968
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.835611979166667,42161.835231008736,1.087316162642914e-07,0.0010933036893639907
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.4287109375,18589.21076895229,2.642230592267992e-06,0.0016076750122682513
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.493923611111111,20826.147736263363,3.1269398086527427e-06,0.0018482805371665377
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.565972222222222,81683.8101393382,1.7895983384317507e-07,0.0015201945921794948
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.391493055555555,8936.88575731165,1.1970261413785937e-06,0.001789569764938412
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,6.828667534722222,8795.253321131406,1.0786858688138095e-06,0.0027053347883121788
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.343587239583333,7540.581019355047,7.801694598654259e-07,0.0021328499675346197
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.721245659722222,31516.79290799219,1.6034355762891223e-07,0.0015198637029635736
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.390842013888889,41098.76787760727,1.0142751097032092e-07,0.0013057058748997693
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.692274305555555,20317.301137205413,1.3604852951831462e-07,0.0013039663726041205
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.212999131944445,11691.448326912438,3.0722118468582815e-07,0.0019492439190154673
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,6.713758680555555,6395.833747522186,1.4712641655121434e-06,0.0024917214011835193
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,7.110026041666667,26719.453008077322,1.991003842169217e-07,0.0017554885846244829
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_reverse_upper,True,,False,0.0,0,36,0.0,0,36,6.967230902777778,4234.465165353136,7.424327489461715e-07,0.002368345625484149
allenai/OLMo-2-1124-7B,main,compositional_reverse_upper,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,5.297146267361111,40394.17308298538,1.724883397310687e-05,0.011577521568171066
