model,checkpoint,compositional_translate_sp_eng_reverse
allenai/OLMo-2-1124-7B,main,9.329924508426966
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,10.238347085674157
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,9.741825403792134
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,9.65574525983146
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,9.572967872191011
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.488588483146067
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,9.78884304775281
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,9.351672226123595
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,9.540445049157304
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,10.002128686797754
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,9.861942591292134
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.883997542134832
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,9.830122015449438
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.828520014044944
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,9.689650632022472
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.733519136235955
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.50805389747191
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,10.246488764044944
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.649776158707866
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,9.528221558988765
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,9.48729371488764
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,9.64477264747191
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,9.304116924157304
