model,checkpoint,compositional_translate_sp_eng_last
allenai/OLMo-2-1124-7B,main,9.68238676264045
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,9.377721207865168
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,11.134743679775282
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,11.65721558988764
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,11.012969627808989
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.27879213483146
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,10.210257198033707
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,10.760358146067416
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,10.7836639747191
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,10.313443644662922
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,10.379674332865168
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,10.639483848314606
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,9.20093047752809
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,10.476299157303371
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,10.705473139044944
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,10.869228405898877
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.832843223314606
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,11.556750351123595
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,10.584159936797754
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,10.79544856039326
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,10.886433462078651
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,10.03103054775281
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,9.516327247191011
