model,checkpoint,copying
allenai/OLMo-2-1124-7B,main,2.7340253829956054
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,2.467179870605469
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,2.521718215942383
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,2.4355120182037355
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,2.408960723876953
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.2228515625
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,2.3743983268737794
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,2.514513397216797
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,2.584084320068359
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,2.6300416946411134
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,2.5513050079345705
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,2.6241556644439696
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,2.482412338256836
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,2.5589773654937744
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,2.3697669506073
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,2.52337703704834
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,2.4124506950378417
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,2.320967102050781
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,2.6131795406341554
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,2.3874855518341063
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,2.420078182220459
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,2.560972881317139
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,2.2960060119628904
