model,checkpoint,textfrct_I1
allenai/OLMo-2-1124-7B,main,11.947135416666667
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,9.641927083333334
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,10.30859375
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,10.177864583333333
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,10.402864583333333
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.220442708333334
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,9.0984375
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,10.343489583333334
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,10.046614583333334
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,9.641145833333333
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,10.554427083333334
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,10.44453125
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,9.340364583333333
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.810416666666667
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,10.01640625
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.849479166666667
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.8171875
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.754427083333333
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,10.148697916666666
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,10.228385416666667
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,9.759895833333333
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,9.744010416666667
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,9.823177083333333
