model,checkpoint,textfrct_CV2
allenai/OLMo-2-1124-7B,main,4.953857421875
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,6.767822265625
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,5.41044921875
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,5.24140625
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,5.198681640625
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,12.463671875
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,6.378662109375
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,5.027197265625
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,5.1840576171875
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,6.382177734375
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,5.39375
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,5.9224609375
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,5.253955078125
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,5.847216796875
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,5.7884765625
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,5.817578125
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,5.364453125
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,7.16865234375
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,5.5091796875
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,5.465625
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,5.38740234375
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,5.1653076171875
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,5.510791015625
