model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_first,correct_gerund_first,total_gerund_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_gerund_first,True,,False,0.0,0,178,0.0,0,178,8.138649929775282,4530.637563153092,0.0004405477769506157,0.0004405477769506157
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_gerund_first,True,,False,0.43258426966292135,77,178,0.43258426966292135,77,178,9.828520014044944,43623.56544264569,9.796473277429216e-05,9.796473277429216e-05
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_gerund_first,True,,False,0.898876404494382,160,178,0.898876404494382,160,178,7.518543714887641,3257.013301963333,0.0009441724144977671,0.0009441724144977671
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_gerund_first,True,,False,0.8876404494382022,158,178,0.8876404494382022,158,178,8.71802580758427,9830.142083663462,0.00026792196745494196,0.00026792196745494196
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_gerund_first,True,,False,0.9719101123595506,173,178,0.9719101123595506,173,178,7.556245610955056,3555.729761012381,0.0008779092192487082,0.0008779092192487082
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_gerund_first,True,,False,0.9382022471910112,167,178,0.9382022471910112,167,178,8.162965238764045,6140.007453630926,0.0005079026123137857,0.0005079026123137857
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_gerund_first,True,,False,0.9213483146067416,164,178,0.9213483146067416,164,178,7.523613061797753,3530.1926786606678,0.0009877520538078052,0.0009877520538078052
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_gerund_first,True,,False,0.8370786516853933,149,178,0.8370786516853933,149,178,7.96460235252809,5489.684665646127,0.0005865613831659072,0.0005865613831659072
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_gerund_first,True,,False,0.8932584269662921,159,178,0.8932584269662921,159,178,8.686907478932584,10060.271447382445,0.00028750703207830306,0.00028750703207830306
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_gerund_first,True,,False,0.9157303370786517,163,178,0.9157303370786517,163,178,7.882593047752809,4447.732519584354,0.0005571855919885888,0.0005571855919885888
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_gerund_first,True,,False,0.9101123595505618,162,178,0.9101123595505618,162,178,8.209357443820224,5775.526088275406,0.0004274447566160914,0.0004274447566160914
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_gerund_first,True,,False,0.9325842696629213,166,178,0.9325842696629213,166,178,8.76810481039326,10088.264726926796,0.000246244735349082,0.000246244735349082
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_gerund_first,True,,False,0.9269662921348315,165,178,0.9269662921348315,165,178,7.683045119382022,3668.1133574516143,0.0007518092889599447,0.0007518092889599447
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_gerund_first,True,,False,0.9438202247191011,168,178,0.9438202247191011,168,178,7.819237183988764,4312.462017282629,0.0006787453683988739,0.0006787453683988739
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_gerund_first,True,,False,0.9550561797752809,170,178,0.9550561797752809,170,178,7.02857268258427,1705.84794121553,0.0013009149002065074,0.0013009149002065074
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_gerund_first,True,,False,0.8764044943820225,156,178,0.8764044943820225,156,178,8.141283356741573,6274.518991723662,0.0004943584267187742,0.0004943584267187742
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_gerund_first,True,,False,0.9101123595505618,162,178,0.9101123595505618,162,178,9.144224016853933,14250.869191457306,0.00016127981400746946,0.00016127981400746946
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_gerund_first,True,,False,0.9213483146067416,164,178,0.9213483146067416,164,178,8.048674508426966,5833.120283482125,0.0004966844806994528,0.0004966844806994528
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_gerund_first,True,,False,0.9157303370786517,163,178,0.9157303370786517,163,178,8.647888869382022,12294.972714494694,0.00030975504335924365,0.00030975504335924365
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_gerund_first,True,,False,0.9044943820224719,161,178,0.9044943820224719,161,178,7.473665730337078,3249.3102763710353,0.0009816161453870785,0.0009816161453870785
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_gerund_first,True,,False,0.8089887640449438,144,178,0.8089887640449438,144,178,9.068622717696629,24425.282869197574,0.0002497278274346207,0.0002497278274346207
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_gerund_first,True,,False,0.8932584269662921,159,178,0.8932584269662921,159,178,7.690989290730337,3854.201578196369,0.0007459054321446994,0.0007459054321446994
allenai/OLMo-2-1124-7B,main,compositional_gerund_first,True,,False,0.9382022471910112,167,178,0.9382022471910112,167,178,6.614049332865169,1104.1400251577097,0.0018619982134198878,0.0018619982134198878
