model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_lower,correct_translate_sp_eng_lower,total_translate_sp_eng_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_translate_sp_eng_lower,True,,False,0.0,0,178,0.0,0,178,11.622103230337078,233833.67893350107,9.924361594627698e-06,2.8719411138113775e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_translate_sp_eng_lower,True,,False,0.07303370786516854,13,178,0.07303370786516854,13,178,11.741024403089888,1920175.6684213907,1.5406631577000318e-05,0.00039165503294259183
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_translate_sp_eng_lower,True,,False,0.5056179775280899,90,178,0.5056179775280899,90,178,8.705923016151685,954499.7879369031,0.0004608481431545089,0.003017810566699118
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_translate_sp_eng_lower,True,,False,0.6573033707865169,117,178,0.6573033707865169,117,178,7.812971822331461,392565.0524277633,0.0005996212247264601,0.0033292517225310867
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_translate_sp_eng_lower,True,,False,0.7303370786516854,130,178,0.7303370786516854,130,178,7.767117275280899,565861.8717407669,0.0004864617228337608,0.0035528719363345424
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_translate_sp_eng_lower,True,,False,0.7752808988764045,138,178,0.7752808988764045,138,178,7.834587868679775,77849.77826873433,0.00039646943897569975,0.0028415693658975397
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_translate_sp_eng_lower,True,,False,0.797752808988764,142,178,0.797752808988764,142,178,7.503368591994382,32521.187991990042,0.0004329710968703315,0.0031501186036671388
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_translate_sp_eng_lower,True,,False,0.8595505617977528,153,178,0.8595505617977528,153,178,7.100136060393258,8839.511133871405,0.0008052877721105118,0.004952315003907884
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_translate_sp_eng_lower,True,,False,0.8258426966292135,147,178,0.8258426966292135,147,178,7.616880266853933,17808.235720751447,0.0003665796169757409,0.0033659479744830717
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_translate_sp_eng_lower,True,,False,0.8258426966292135,147,178,0.8258426966292135,147,178,7.286023086376405,12767.973257582998,0.0005420751362910761,0.004310939619776647
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_translate_sp_eng_lower,True,,False,0.8595505617977528,153,178,0.8595505617977528,153,178,7.217224806882022,16112.555083619498,0.0006110556854452225,0.004466350551623273
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_translate_sp_eng_lower,True,,False,0.8426966292134831,150,178,0.8426966292134831,150,178,7.027563202247191,12971.948338632437,0.0006420097722904004,0.004630206358673858
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_translate_sp_eng_lower,True,,False,0.8539325842696629,152,178,0.8539325842696629,152,178,7.339492626404494,17646.026964980938,0.0005956083325158373,0.004130811322184554
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_translate_sp_eng_lower,True,,False,0.8651685393258427,154,178,0.8651685393258427,154,178,7.020288360252809,4771.107770697653,0.0006669653032846337,0.0045808608496348035
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_translate_sp_eng_lower,True,,False,0.8764044943820225,156,178,0.8764044943820225,156,178,6.258086815308989,1953.1238527883604,0.0014802416352620814,0.00702023364850241
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_translate_sp_eng_lower,True,,False,0.8876404494382022,158,178,0.8876404494382022,158,178,7.385423981741573,6603.781724940893,0.00040782119504146556,0.004122731916713449
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_translate_sp_eng_lower,True,,False,0.8595505617977528,153,178,0.8595505617977528,153,178,6.816044153792135,5421.942343631297,0.0008619870032475827,0.005274067053689067
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_translate_sp_eng_lower,True,,False,0.8932584269662921,159,178,0.8932584269662921,159,178,6.608376492275281,2839.227357122128,0.0009930918286414217,0.006832864173614149
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_translate_sp_eng_lower,True,,False,0.8820224719101124,157,178,0.8820224719101124,157,178,6.602165993679775,2575.3467170889776,0.0009882534406078375,0.006455578963402411
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_translate_sp_eng_lower,True,,False,0.9269662921348315,165,178,0.9269662921348315,165,178,6.244974543539326,2399.2164447939704,0.0014190082069077987,0.00733554223059225
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_translate_sp_eng_lower,True,,False,0.898876404494382,160,178,0.898876404494382,160,178,6.438048630617978,4181.198340482306,0.0011686931824828111,0.006921761989166869
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_translate_sp_eng_lower,True,,False,0.8932584269662921,159,178,0.8932584269662921,159,178,6.274216555477528,9542.454629647113,0.0014011198103335365,0.008138497507508344
allenai/OLMo-2-1124-7B,main,compositional_translate_sp_eng_lower,True,,False,0.9382022471910112,167,178,0.9382022471910112,167,178,5.889966643258427,893.4108270540113,0.0018850491870436173,0.009801478756871998
