model,checkpoint,compositional_translate_sp_eng_first
allenai/OLMo-2-1124-7B,main,0.09550561797752809
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.15730337078651685
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.15730337078651685
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.21348314606741572
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.15730337078651685
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.1404494382022472
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.15730337078651685
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.1348314606741573
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.19662921348314608
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.15730337078651685
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.19101123595505617
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.16292134831460675
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.19101123595505617
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.16853932584269662
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.20786516853932585
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.16292134831460675
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.10674157303370786
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.16292134831460675
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.15168539325842698
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.16853932584269662
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.1853932584269663
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.20786516853932585
