model,checkpoint,compositional_reverse_lower
allenai/OLMo-2-1124-7B,main,5.660807291666667
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.990776909722221
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.926106770833333
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,7.531792534722222
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.568793402777778
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.149522569444445
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.557508680555555
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,6.673882378472222
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.056966145833333
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.542643229166666
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,7.761067708333333
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.073350694444445
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.523111979166667
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,7.980360243055555
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.817274305555555
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.3349609375
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.421657986111111
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.423285590277779
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.676432291666667
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.952039930555555
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.646267361111111
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,6.939236111111111
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.366427951388889
