model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_upper,correct_gerund_upper,total_gerund_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_gerund_upper,True,,False,0.0,0,178,0.0,0,178,11.824833216292134,286994.2489845763,3.81844529201714e-09,1.278609084765477e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_gerund_upper,True,,False,0.43258426966292135,77,178,0.43258426966292135,77,178,3.4556102966994384,112.14976125698728,0.0006812487136030387,0.05053228804404622
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_gerund_upper,True,,False,0.7415730337078652,132,178,0.7415730337078652,132,178,3.0415450535463484,392.7002025536,0.0012827432389912127,0.0713628281447417
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_gerund_upper,True,,False,0.8370786516853933,149,178,0.8370786516853933,149,178,3.0884200535463484,51.40729665513558,0.0017914125948888361,0.06893086922200121
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_gerund_upper,True,,False,0.8707865168539326,155,178,0.8707865168539326,155,178,2.984062280547753,110.85395066058089,0.0013368572352250776,0.07191113265221061
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_gerund_upper,True,,False,0.9044943820224719,161,178,0.9044943820224719,161,178,3.193551395716292,249.0998265146604,0.0009615842217338739,0.06024327861064763
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_gerund_upper,True,,False,0.9157303370786517,163,178,0.9157303370786517,163,178,3.04150390625,85.69865132244449,0.0006661516168340102,0.06759865471009531
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_gerund_upper,True,,False,0.8426966292134831,150,178,0.8426966292134831,150,178,2.864811929424157,48.635668586046634,0.0008776500385066222,0.07822403715230421
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_gerund_upper,True,,False,0.898876404494382,160,178,0.898876404494382,160,178,3.061205231741573,92.92145520108748,0.0008146401951207007,0.06755462231472344
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_gerund_upper,True,,False,0.9325842696629213,166,178,0.9325842696629213,166,178,2.9385369118679776,34.04431800940604,0.0010421640123255463,0.07382942699496413
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_gerund_upper,True,,False,0.9325842696629213,166,178,0.9325842696629213,166,178,3.0805307452598316,49.677983582362224,0.0006336668638486141,0.06517777779327733
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_gerund_upper,True,,False,0.8932584269662921,159,178,0.8932584269662921,159,178,3.1510160639044944,112.66977626666998,0.0005560199384105121,0.06486175341308972
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_gerund_upper,True,,False,0.9269662921348315,165,178,0.9269662921348315,165,178,3.196267117275281,238.0504863756426,0.0007201504186821301,0.06110266851622842
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_gerund_upper,True,,False,0.9382022471910112,167,178,0.9382022471910112,167,178,2.989888737710674,72.81154865496939,0.0007518849247592589,0.07310973174407599
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_gerund_upper,True,,False,0.898876404494382,160,178,0.898876404494382,160,178,3.1097096646769664,67.72105730233285,0.0004726793095931414,0.06411997702336494
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_gerund_upper,True,,False,0.949438202247191,169,178,0.949438202247191,169,178,3.103515625,233.342502249659,0.00042741447120472794,0.06540377967009031
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_gerund_upper,True,,False,0.9382022471910112,167,178,0.9382022471910112,167,178,3.1811084533005616,60.819097097645965,0.0003799206560979856,0.06102382599023222
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_gerund_upper,True,,False,0.9719101123595506,173,178,0.9719101123595506,173,178,3.1049859550561796,77.82763195120214,0.0004534466843881779,0.06547373530454724
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_gerund_upper,True,,False,0.9382022471910112,167,178,0.9382022471910112,167,178,3.0475991924157304,46.16914516758124,0.0005448811615126774,0.06803285235692033
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_gerund_upper,True,,False,0.9550561797752809,170,178,0.9550561797752809,170,178,2.793138825491573,308.75818606109647,0.0011448617486048722,0.08606571330089911
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_gerund_upper,True,,False,0.9662921348314607,172,178,0.9662921348314607,172,178,2.923509919241573,50.41719593192757,0.0008378457203617139,0.07304669523796894
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_gerund_upper,True,,False,0.9550561797752809,170,178,0.9550561797752809,170,178,2.754026948735955,29.58454193108574,0.0011607747966503467,0.08753567275002198
allenai/OLMo-2-1124-7B,main,compositional_gerund_upper,True,,False,0.9775280898876404,174,178,0.9775280898876404,174,178,2.819220725070225,56.16160616700663,0.0008982491144074146,0.08294458383650785
