model,checkpoint,multistep_arithmetic
allenai/OLMo-2-1124-7B,main,14.61484375
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,11.5748046875
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.306103515625
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,11.1966796875
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,11.0162109375
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,11.8849609375
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,11.1986328125
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,11.0015625
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,12.273828125
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,11.7525390625
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,11.6763671875
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,10.9875
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,11.5255859375
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,12.0921875
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,12.37421875
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,11.4580078125
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,12.0951171875
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,11.4794921875
allenai/OLMo-2-1124-7B,stage1-step851000-tokens3570B,11.2486328125
allenai/OLMo-2-1124-7B,stage1-step901000-tokens3780B,11.0185546875
allenai/OLMo-2-1124-7B,stage1-step928646-tokens3896B,11.2298828125
