model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_last,correct_lower_last,total_lower_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_lower_last,True,,False,0.0,0,36,0.0,0,36,7.929036458333333,3208.9497480770015,0.00041549865009597167,0.00041549865009597167
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_lower_last,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.902994791666666,114297.61817541505,2.8821548537628637e-05,2.8821548537628637e-05
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_lower_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.514973958333334,55180.04892251662,0.00019426437742723973,0.00019426437742723973
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_lower_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.2880859375,57287.721687643,8.418053583787122e-05,8.418053583787122e-05
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_lower_last,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.01540798611111,32858.31816370139,6.673318572577433e-05,6.673318572577433e-05
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_lower_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.57009548611111,36870.67691537077,0.00022758406733907737,0.00022758406733907737
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_lower_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,9.955512152777779,61443.335499355024,0.00021711456030295672,0.00021711456030295672
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_lower_last,True,,False,0.2222222222222222,8,36,0.2222222222222222,8,36,9.991536458333334,60146.40382915453,0.00010725953536861859,0.00010725953536861859
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_lower_last,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,9.985460069444445,54697.181141980014,0.0001417751991683482,0.0001417751991683482
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_lower_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.08029513888889,21620.13366750438,0.0006629521470633725,0.0006629521470633725
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_lower_last,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,9.843315972222221,44412.45811316729,0.0001571116515392277,0.0001571116515392277
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_lower_last,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,10.120008680555555,57810.68245845695,8.622095736207613e-05,8.622095736207613e-05
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_lower_last,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.202039930555555,45958.198430589684,6.086471923433395e-05,6.086471923433395e-05
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_lower_last,True,,False,0.25,9,36,0.25,9,36,8.733832465277779,22753.769789641457,0.0004823776705656574,0.0004823776705656574
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_lower_last,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,8.32421875,12861.427553670654,0.0009530665749172771,0.0009530665749172771
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_lower_last,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,10.347547743055555,97833.41730381726,0.00016670387423220362,0.00016670387423220362
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_lower_last,True,,False,0.2222222222222222,8,36,0.2222222222222222,8,36,10.942816840277779,160190.39541210158,6.615394314367423e-05,6.615394314367423e-05
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_lower_last,True,,False,0.2777777777777778,10,36,0.2777777777777778,10,36,10.351453993055555,75312.59243043176,8.529173930866635e-05,8.529173930866635e-05
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_lower_last,True,,False,0.2222222222222222,8,36,0.2222222222222222,8,36,10.196614583333334,66965.4413225628,0.00020423000247718012,0.00020423000247718012
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_lower_last,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,9.65353732638889,76767.02523211141,0.00022713460927832819,0.00022713460927832819
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_lower_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.0517578125,50082.374085804826,0.00010419710874252854,0.00010419710874252854
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_lower_last,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,9.48611111111111,32762.185198662904,0.00020025295523741363,0.00020025295523741363
allenai/OLMo-2-1124-7B,main,compositional_lower_last,True,,False,0.3055555555555556,11,36,0.3055555555555556,11,36,8.453016493055555,8243.47367068489,0.0004227879905057157,0.0004227879905057157
