model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_reverse,correct_translate_eng_fr_reverse,total_translate_eng_fr_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,10.50483200867052,162441.53089915047,7.964385125376882e-07,5.524152004576376e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,10.19736723265896,1443666.6995805644,1.9350686186491946e-07,0.00020928635955719764
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,10.22100794797688,860842.8486949848,3.949357061795888e-07,0.0004080633450799263
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.857252528901734,641391.9884454416,2.748796219937285e-07,0.00020287285578647878
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.879177203757225,603645.339201974,3.779382385035439e-07,0.0003283317440662181
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.834876264450868,1336813.380386701,1.7483481289532623e-06,0.0003496282922756246
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.85732026734104,760881.4247118125,1.3489052341567278e-06,0.00021867022532326609
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.768289378612717,1982970.803597181,8.071585977402608e-07,0.00023496249135624992
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.95741510115607,1047513.4806403012,2.6175072653645065e-07,0.0002475952472154649
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.74778721098266,1048255.839145934,1.073693521134768e-06,0.00026260654825631743
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.633715679190752,701429.4777579927,1.1437565166741486e-06,0.0005733436964898585
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.93693551300578,1172886.8005408482,2.562921839555303e-07,0.00020994442976581652
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.80229407514451,7987187.44075938,1.3653988917611167e-06,0.0002723743412780509
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.775356755780347,1814166.1833110924,6.008017996095705e-07,0.0002363217699753258
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.751422507225433,968207.2691067061,1.7543532837145063e-06,0.00023676415767653558
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.969901553468208,1170153.6491011595,1.0951731026950657e-06,0.00020231513236387613
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.996229226878613,1147963.7531984614,3.250151411129047e-07,0.00019542443064635316
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.953779804913294,1392016.5247689674,3.8200933462854136e-07,0.000194520541100315
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.85572841401734,1974606.4233917631,8.856306362899921e-07,0.0005253362455912597
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.988032875722544,1538740.5500539367,5.81539553000952e-07,0.0002066450163321579
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,10.079299132947977,2127750.8272568444,2.0175766182589748e-07,0.00021657255126587846
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,10.068889992774567,1408575.8368287347,1.6429680225956356e-07,0.0001793239697927203
allenai/OLMo-2-1124-7B,main,compositional_translate_eng_fr_reverse,True,,False,0.0,0,173,0.0,0,173,9.722814306358382,7109901.78253112,4.760618709041646e-07,0.0002855870327953485
