model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse_first,correct_upper_reverse_first,total_upper_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_upper_reverse_first,True,,False,0.0,0,26,0.0,0,26,8.673227163461538,7188.213840199731,0.00021341778187421043,0.00021341778187421043
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.18134014423077,4670.276526854782,0.00036101810037044346,0.00036101810037044346
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.0323016826923075,1445.57235896578,0.0011480237059367804,0.0011480237059367804
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.494891826923077,6329.387146072432,0.0002678360902833311,0.0002678360902833311
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.229867788461538,5132.318433575292,0.00032229346939726154,0.00032229346939726154
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.99248798076923,11536.459604334184,0.0001945314339647193,0.0001945314339647193
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.821213942307692,7883.295339623058,0.0001731005998257294,0.0001731005998257294
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.378305288461538,5134.709198210936,0.0002663345624432983,0.0002663345624432983
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,9.530048076923077,15838.874431926299,8.374549944780701e-05,8.374549944780701e-05
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.923527644230769,3405.335148580425,0.0004472103525126865,0.0004472103525126865
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.378305288461538,5027.1171833328635,0.00026255862653661336,0.00026255862653661336
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.646334134615385,6664.50390011908,0.0002110914041575465,0.0002110914041575465
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.268930288461538,4840.10509871362,0.000305599247965895,0.000305599247965895
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.814903846153846,3084.9107669714363,0.000502730310325748,0.000502730310325748
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.122445913461538,1465.127222861568,0.0009824760682396309,0.0009824760682396309
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.558143028846154,2314.661881135975,0.000614938338987439,0.000614938338987439
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.509314903846153,5827.017741343285,0.00023553129886828825,0.00023553129886828825
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.641526442307692,6365.9629901836,0.00019620896821674844,0.00019620896821674844
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.934194711538462,9587.599549383836,0.0001675810146998559,0.0001675810146998559
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.206580528846153,4633.44826757257,0.00034074233705362513,0.00034074233705362513
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,8.058443509615385,3582.5502119924276,0.0003694383687672811,0.0003694383687672811
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.2255108173076925,1617.9443508940344,0.0008547292766673156,0.0008547292766673156
allenai/OLMo-2-1124-7B,main,compositional_upper_reverse_first,True,,False,1.0,26,26,1.0,26,26,7.710336538461538,2537.0367492920336,0.0005251521480211703,0.0005251521480211703
