model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_upper,correct_plural_upper,total_plural_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_plural_upper,True,,False,0.0,0,165,0.0,0,165,11.663494318181819,286402.20868273696,9.48179434152762e-09,1.5393685121333343e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_plural_upper,True,,False,0.3696969696969697,61,165,0.3696969696969697,61,165,4.357504734848485,915.0334801263155,0.00021451363852690203,0.027270848246607634
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_plural_upper,True,,False,0.6242424242424243,103,165,0.6242424242424243,103,165,3.7228338068181817,507.7933706368983,0.0003675193010654361,0.040472628687340285
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_plural_upper,True,,False,0.6909090909090909,114,165,0.6909090909090909,114,165,3.6088245738636364,339.95970459837156,0.0007889614805855323,0.04397865705223983
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_plural_upper,True,,False,0.7393939393939394,122,165,0.7393939393939394,122,165,3.4115885416666667,103.16032739288217,0.0005703309513940654,0.04801382202058253
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_plural_upper,True,,False,0.7575757575757576,125,165,0.7575757575757576,125,165,3.6614583333333335,362.2651338641515,0.00036711103293222893,0.040479078717859086
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_plural_upper,True,,False,0.7757575757575758,128,165,0.7757575757575758,128,165,3.6879083806818183,234.0144921009749,0.00047734191982277274,0.038348600109814696
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_plural_upper,True,,False,0.7393939393939394,122,165,0.7393939393939394,122,165,3.3836410984848486,190.88920050027016,0.0008453373322142878,0.05001694997080034
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_plural_upper,True,,False,0.7696969696969697,127,165,0.7696969696969697,127,165,3.658416193181818,449.6304625376087,0.00034438557714160654,0.039326083915166496
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_plural_upper,True,,False,0.7757575757575758,128,165,0.7757575757575758,128,165,3.5976207386363637,235.43311323628035,0.0004898874178486289,0.04133822899498678
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_plural_upper,True,,False,0.8242424242424242,136,165,0.8242424242424242,136,165,3.683463541666667,268.3974417211576,0.0002631745181033109,0.03933570437611687
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_plural_upper,True,,False,0.8242424242424242,136,165,0.8242424242424242,136,165,3.6378669507575756,1046.3754536923461,0.0003325418234265957,0.04318818012823407
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_plural_upper,True,,False,0.8545454545454545,141,165,0.8545454545454545,141,165,3.7334339488636363,1348.6078135781308,0.0002720215095166581,0.03937481820256055
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_plural_upper,True,,False,0.806060606060606,133,165,0.806060606060606,133,165,3.7052556818181817,1171.3510335110325,0.0002809496862881083,0.03909162102471199
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_plural_upper,True,,False,0.8303030303030303,137,165,0.8303030303030303,137,165,3.6368548768939393,3053.560353642291,0.00034106563375293895,0.043089718402808806
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_plural_upper,True,,False,0.8121212121212121,134,165,0.8121212121212121,134,165,3.6687914299242426,574.2907776113258,0.00026545865909901163,0.039864432715301684
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_plural_upper,True,,False,0.8484848484848485,140,165,0.8484848484848485,140,165,3.7611505681818183,830.7449041481665,0.0002306247884855655,0.036996668203208224
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_plural_upper,True,,False,0.8424242424242424,139,165,0.8424242424242424,139,165,3.620247395833333,1250.7500546454548,0.00042791926345196605,0.04269291758436817
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_plural_upper,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,3.7343454071969697,1259.7158181391055,0.000594505055906479,0.04118201407187258
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_plural_upper,True,,False,0.8606060606060606,142,165,0.8606060606060606,142,165,3.3629616477272726,1039.9041075930463,0.0006513902669500495,0.052776817312382346
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_plural_upper,True,,False,0.8909090909090909,147,165,0.8909090909090909,147,165,3.5133285984848484,4101.407584904116,0.0005083576609175264,0.04752789275567623
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_plural_upper,True,,False,0.8666666666666667,143,165,0.8666666666666667,143,165,3.44495146780303,690.2101485717874,0.00047733852552200363,0.048079333463037124
allenai/OLMo-2-1124-7B,main,compositional_plural_upper,True,,False,0.9030303030303031,149,165,0.9030303030303031,149,165,3.3236624053030304,342.62376849355564,0.0007232860469065531,0.0581941126188747
