model,checkpoint,compositional_upper_first
allenai/OLMo-2-1124-7B,main,7.499348958333333
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,6.712348090277778
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.851996527777778
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,8.20041232638889
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.932834201388889
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.56423611111111
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.341688368055555
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.001844618055555
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.160047743055555
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.544270833333334
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.109809027777779
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.374565972222221
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.750325520833333
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.428602430555555
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.388780381944445
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.991644965277779
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,8.192925347222221
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.028211805555555
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,8.104058159722221
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.380859375
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.003038194444445
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.643120659722222
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,6.772677951388889
