model,checkpoint,fact_extraction
allenai/OLMo-2-1124-7B,main,6.163896385828654
allenai/OLMo-2-1124-7B,stage1-step101000-tokens424B,5.372299007574717
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,9.75703125
allenai/OLMo-2-1124-7B,stage1-step151000-tokens634B,5.358630981047948
allenai/OLMo-2-1124-7B,stage1-step201000-tokens844B,5.224205740292867
allenai/OLMo-2-1124-7B,stage1-step251000-tokens1053B,5.042191604773204
allenai/OLMo-2-1124-7B,stage1-step301000-tokens1263B,5.310062901178996
allenai/OLMo-2-1124-7B,stage1-step351000-tokens1473B,5.05586773554484
allenai/OLMo-2-1124-7B,stage1-step401000-tokens1682B,5.318776136636734
allenai/OLMo-2-1124-7B,stage1-step451000-tokens1892B,5.279350278774897
allenai/OLMo-2-1124-7B,stage1-step501000-tokens2102B,5.352552652359009
allenai/OLMo-2-1124-7B,stage1-step51000-tokens214B,4.696294212341309
allenai/OLMo-2-1124-7B,stage1-step551000-tokens2312B,5.089614780743917
allenai/OLMo-2-1124-7B,stage1-step601000-tokens2521B,4.704853661855062
allenai/OLMo-2-1124-7B,stage1-step651000-tokens2731B,5.174594148000081
allenai/OLMo-2-1124-7B,stage1-step701000-tokens2941B,5.186026954650879
allenai/OLMo-2-1124-7B,stage1-step751000-tokens3150B,5.024943335851034
allenai/OLMo-2-1124-7B,stage1-step801000-tokens3360B,5.059401837984721
allenai/OLMo-2-1124-7B,stage1-step851000-tokens3570B,5.112763055165609
allenai/OLMo-2-1124-7B,stage1-step901000-tokens3780B,4.862180773417155
allenai/OLMo-2-1124-7B,stage1-step928646-tokens3896B,5.047307022412618
