model,checkpoint,textfrct_I2
allenai/OLMo-2-1124-7B,main,11.953683035714286
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.166294642857142
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,8.870814732142858
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,9.477260044642858
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,9.1640625
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,5.7919921875
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,7.6806640625
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,9.401506696428571
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,9.056082589285714
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.509347098214286
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,9.329938616071429
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.088448660714286
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,8.4326171875
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.397181919642858
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.828962053571429
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.153041294642858
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.601841517857143
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.229631696428571
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,8.3720703125
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,9.382533482142858
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.268694196428571
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,8.190150669642858
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,8.491629464285714
