model,checkpoint,compositional_gerund_upper
allenai/OLMo-2-1124-7B,main,2.819220725070225
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,3.0415450535463484
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,3.103515625
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,3.1811084533005616
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,3.1049859550561796
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.824833216292134
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,3.0884200535463484
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,3.0475991924157304
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,2.793138825491573
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,2.984062280547753
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,2.923509919241573
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,3.193551395716292
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,2.754026948735955
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,3.04150390625
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,2.864811929424157
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,3.061205231741573
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,2.9385369118679776
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,3.4556102966994384
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,3.0805307452598316
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,3.1510160639044944
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,3.196267117275281
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,2.989888737710674
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,3.1097096646769664
