model,checkpoint,ignoring_context
allenai/OLMo-2-1124-7B,main,11.9921875
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,10.09375
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,8.2265625
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,8.4609375
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.59375
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.125
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,9.578125
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.8984375
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,8.5390625
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.171875
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,9.6015625
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.7421875
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,9.640625
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.46875
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.76171875
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.765625
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,8.6875
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.421875
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.90234375
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.29296875
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.6328125
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,8.921875
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.328125
