model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_plural_lower,correct_plural_lower,total_plural_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step150-tokens1B/allenai_OLMo-2-1124-7B_stage1-step150-tokens1B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.0,0,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step5000-tokens21B/allenai_OLMo-2-1124-7B_stage1-step5000-tokens21B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.8666666666666667,143,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step10000-tokens42B/allenai_OLMo-2-1124-7B_stage1-step10000-tokens42B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9333333333333333,154,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step15000-tokens63B/allenai_OLMo-2-1124-7B_stage1-step15000-tokens63B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9515151515151515,157,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step20000-tokens84B/allenai_OLMo-2-1124-7B_stage1-step20000-tokens84B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9212121212121213,152,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step25000-tokens105B/allenai_OLMo-2-1124-7B_stage1-step25000-tokens105B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9515151515151515,157,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step30000-tokens126B/allenai_OLMo-2-1124-7B_stage1-step30000-tokens126B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9515151515151515,157,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step35000-tokens147B/allenai_OLMo-2-1124-7B_stage1-step35000-tokens147B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9515151515151515,157,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step40000-tokens168B/allenai_OLMo-2-1124-7B_stage1-step40000-tokens168B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9696969696969697,160,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step45000-tokens189B/allenai_OLMo-2-1124-7B_stage1-step45000-tokens189B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9757575757575757,161,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step50000-tokens210B/allenai_OLMo-2-1124-7B_stage1-step50000-tokens210B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9696969696969697,160,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step60000-tokens252B/allenai_OLMo-2-1124-7B_stage1-step60000-tokens252B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9818181818181818,162,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step70000-tokens294B/allenai_OLMo-2-1124-7B_stage1-step70000-tokens294B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9575757575757575,158,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step80000-tokens336B/allenai_OLMo-2-1124-7B_stage1-step80000-tokens336B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9575757575757575,158,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step90000-tokens378B/allenai_OLMo-2-1124-7B_stage1-step90000-tokens378B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9757575757575757,161,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step110000-tokens462B/allenai_OLMo-2-1124-7B_stage1-step110000-tokens462B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9454545454545454,156,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step120000-tokens504B/allenai_OLMo-2-1124-7B_stage1-step120000-tokens504B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9818181818181818,162,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step130000-tokens546B/allenai_OLMo-2-1124-7B_stage1-step130000-tokens546B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9818181818181818,162,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step150000-tokens630B/allenai_OLMo-2-1124-7B_stage1-step150000-tokens630B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9575757575757575,158,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_plural_lower,True,,True,results/olmo2_continuous_7b_early_revised/OLMo-2-1124-7B_stage1-step170000-tokens714B/allenai_OLMo-2-1124-7B_stage1-step170000-tokens714B_compositional_plural_lower_plural_lower_detailed.jsonl,165.0,0.9757575757575757,161,165,,,,,,,
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_plural_lower,True,,False,,,0.9693251533742331,158,163,0.9693251533742331,158.0,163.0,5.516667465490798,2573.994687677586,0.00029526023299527996,0.01196848306258691
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_plural_lower,True,,False,,,0.9815950920245399,160,163,0.9815950920245399,160.0,163.0,5.240270322085889,2330.3951693802683,0.0004421100202097486,0.01565487986373751
allenai/OLMo-2-1124-7B,main,compositional_plural_lower,True,,False,,,0.9877300613496932,161,163,0.9877300613496932,161.0,163.0,4.757560870398773,1096.8062872643445,0.0009540119159491417,0.02598668382546537
