model,checkpoint,simple_icl_uppercase
allenai/OLMo-2-1124-7B,main,7.534705528846154
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.320913461538462
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.560396634615385
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,8.435396634615385
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.3408954326923075
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.81640625
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.577674278846153
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.405649038461538
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.6591045673076925
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.509014423076923
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,7.571664663461538
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.390775240384615
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.0440204326923075
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.674729567307692
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.565655048076923
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.156099759615385
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.443058894230769
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,7.781099759615385
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.731219951923077
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.190955528846153
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.413311298076923
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,8.119891826923077
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.089393028846154
