model,checkpoint,compositional_lower_reverse
allenai/OLMo-2-1124-7B,main,5.5087890625
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.9365234375
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.807183159722222
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,7.594292534722222
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.771918402777778
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.17795138888889
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.662543402777779
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,6.769639756944445
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.1533203125
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.4248046875
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,7.9150390625
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.208658854166666
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.451171875
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,7.8837890625
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.853841145833333
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.094835069444445
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.310980902777778
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.417317708333334
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.606716579861111
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.136176215277779
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.672526041666667
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,6.868869357638889
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.419921875
