model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lowercase,correct_lowercase,total_lowercase,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,simple_icl_lowercase,True,,False,0.0,0,26,0.0,0,26,8.445913461538462,6163.247139249919,0.00028254394881981087,0.00028254394881981087
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,simple_icl_lowercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,8.11944110576923,6619.392441845301,0.0006802751645056854,0.0006802751645056854
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.333233173076923,2105.6243632545015,0.0010594078901225757,0.0010594078901225757
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.369741586538462,6619.5223746889,0.00038665900917485117,0.00038665900917485117
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.177433894230769,1945.47020703114,0.0010672582765913726,0.0010672582765913726
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,9.06024639423077,11018.4386003243,0.0001485307370471338,0.0001485307370471338
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.639122596153847,8488.489639287325,0.0002465897602606263,0.0002465897602606263
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.974008413461538,4192.061016929269,0.0005186430823199405,0.0005186430823199405
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,10.03155048076923,30535.01207527151,6.08781487791494e-05,6.08781487791494e-05
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.188401442307692,4793.690678252486,0.0003673206414237318,0.0003673206414237318
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,9.286508413461538,12743.116494098864,0.00011497284070804751,0.00011497284070804751
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,9.13055889423077,12878.60982127141,0.00015164919971594602,0.00015164919971594602
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.083082932692308,4689.224968418197,0.00043862568659536216,0.00043862568659536216
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.200721153846153,4837.677806502795,0.00034315600072982625,0.00034315600072982625
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.346153846153847,5351.418211112714,0.00031901870944997643,0.00031901870944997643
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.4755108173076925,2000.8461338472641,0.0006598509829979297,0.0006598509829979297
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,9.026442307692308,12335.053686773435,0.00015435365809548078,0.00015435365809548078
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.829927884615385,3464.215485448433,0.0004962395937982988,0.0004962395937982988
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.601412259615385,7830.658800386005,0.00024793885106546334,0.00024793885106546334
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.12274639423077,4489.6803753700415,0.0003962833890200357,0.0003962833890200357
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,8.512920673076923,6144.139109377094,0.00025634596470047895,0.00025634596470047895
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,simple_icl_lowercase,True,,False,1.0,26,26,1.0,26,26,7.064302884615385,1330.314853987031,0.000992964908170461,0.000992964908170461
allenai/OLMo-2-1124-7B,main,simple_icl_lowercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,7.899188701923077,3297.279849424447,0.0005132076426612964,0.0005132076426612964
