model,checkpoint,compositional_gerund_lower
allenai/OLMo-2-1124-7B,main,4.016480863764045
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,4.292634085323034
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,4.599214360955056
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,4.925753818469101
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,4.459949964887641
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.944654143258427
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,4.393543714887641
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,4.436731917134831
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,4.041833084620786
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,4.329321014747191
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,4.519942722963483
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,4.575299552317416
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,3.9262750175561796
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,4.430817679073034
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,4.270557189255618
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,4.339898613061798
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,4.165220110603933
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,4.127134173103933
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,4.268823516502809
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,4.517243460323034
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,4.584461683637641
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,4.296002677317416
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,3.886504784058989
