model,checkpoint,textfrct_MA2
allenai/OLMo-2-1124-7B,main,14.501302083333334
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,12.990104166666667
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,12.365104166666667
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,12.706510416666667
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,13.20546875
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,9.795442708333333
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,12.224479166666667
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,13.381770833333333
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,12.966145833333334
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,12.922395833333333
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,12.929947916666666
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,12.99140625
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,12.972916666666666
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,12.98125
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,12.634635416666667
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,12.73515625
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,12.31953125
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,11.955208333333333
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,13.146354166666667
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,13.05234375
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,13.3
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,13.45078125
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,13.368489583333334
