model,checkpoint,compositional_translate_sp_eng_lower
allenai/OLMo-2-1124-7B,main,5.889966643258427
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.705923016151685
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.385423981741573
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,6.816044153792135
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,6.608376492275281
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.622103230337078
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,7.812971822331461
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,6.602165993679775
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,6.244974543539326
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.767117275280899
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,6.438048630617978
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,7.834587868679775
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,6.274216555477528
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,7.503368591994382
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.100136060393258
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,7.616880266853933
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.286023086376405
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,11.741024403089888
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.217224806882022
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.027563202247191
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.339492626404494
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.020288360252809
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,6.258086815308989
