model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_first,correct_translate_eng_fr_first,total_translate_eng_fr_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_translate_eng_fr_first,True,,False,0.0,0,173,0.0,0,173,8.42855852601156,7010.343762814462,0.0003272183603025024,0.0003272183603025024
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_translate_eng_fr_first,True,,False,0.1791907514450867,31,173,0.1791907514450867,31,173,11.15755960982659,236154.01271458404,3.586388566467719e-05,3.586388566467719e-05
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_translate_eng_fr_first,True,,False,0.24277456647398843,42,173,0.24277456647398843,42,173,10.373758128612717,609147.8337928101,0.00018670665447571258,0.00018670665447571258
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_translate_eng_fr_first,True,,False,0.21965317919075145,38,173,0.21965317919075145,38,173,11.477149566473988,990160.9234682734,3.821460893066853e-05,3.821460893066853e-05
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_translate_eng_fr_first,True,,False,0.2543352601156069,44,173,0.2543352601156069,44,173,11.114906972543352,937796.6669304562,0.00011086929816969271,0.00011086929816969271
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_translate_eng_fr_first,True,,False,0.26011560693641617,45,173,0.26011560693641617,45,173,11.273189125722544,1949228.285378441,9.315549173721418e-05,9.315549173721418e-05
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_translate_eng_fr_first,True,,False,0.28901734104046245,50,173,0.28901734104046245,50,173,11.02192467485549,872666.2461394452,8.859488254939043e-05,8.859488254939043e-05
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_translate_eng_fr_first,True,,False,0.2658959537572254,46,173,0.2658959537572254,46,173,10.896315028901734,332487.4465956476,7.699361441328949e-05,7.699361441328949e-05
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_translate_eng_fr_first,True,,False,0.24277456647398843,42,173,0.24277456647398843,42,173,11.422145953757225,581546.0937376497,3.65471627010736e-05,3.65471627010736e-05
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_translate_eng_fr_first,True,,False,0.2254335260115607,39,173,0.2254335260115607,39,173,10.413723807803468,629102.2587672006,0.0001499322778560959,0.0001499322778560959
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_translate_eng_fr_first,True,,False,0.23121387283236994,40,173,0.23121387283236994,40,173,10.795475072254336,530441.0477559693,8.392584129113475e-05,8.392584129113475e-05
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_translate_eng_fr_first,True,,False,0.19653179190751446,34,173,0.19653179190751446,34,173,11.551187680635838,1004700.6514033879,3.646217421917282e-05,3.646217421917282e-05
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_translate_eng_fr_first,True,,False,0.26011560693641617,45,173,0.26011560693641617,45,173,10.686054913294798,266996.0548582957,7.644254623996417e-05,7.644254623996417e-05
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_translate_eng_fr_first,True,,False,0.2543352601156069,44,173,0.2543352601156069,44,173,10.729249458092486,361887.53304783616,0.00010732181973072226,0.00010732181973072226
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_translate_eng_fr_first,True,,False,0.2658959537572254,46,173,0.2658959537572254,46,173,10.063199963872833,603168.3828847506,0.00018514050566537866,0.00018514050566537866
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_translate_eng_fr_first,True,,False,0.1791907514450867,31,173,0.1791907514450867,31,173,10.949105852601155,243285.9803840357,6.498289163820982e-05,6.498289163820982e-05
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_translate_eng_fr_first,True,,False,0.20809248554913296,36,173,0.20809248554913296,36,173,12.022737536127167,1389676.649511695,3.1646003334301525e-05,3.1646003334301525e-05
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_translate_eng_fr_first,True,,False,0.2138728323699422,37,173,0.2138728323699422,37,173,11.013525108381502,281030.0607433483,6.248960640990061e-05,6.248960640990061e-05
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_translate_eng_fr_first,True,,False,0.26011560693641617,45,173,0.26011560693641617,45,173,11.03849801300578,3475237.586413041,8.512381172995496e-05,8.512381172995496e-05
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_translate_eng_fr_first,True,,False,0.20809248554913296,36,173,0.20809248554913296,36,173,10.883399566473988,655767.1291241313,9.397974247775463e-05,9.397974247775463e-05
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_translate_eng_fr_first,True,,False,0.2138728323699422,37,173,0.2138728323699422,37,173,11.111136199421965,827173.081994737,6.757025330549666e-05,6.757025330549666e-05
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_translate_eng_fr_first,True,,False,0.2543352601156069,44,173,0.2543352601156069,44,173,10.422778179190752,352805.5196550021,0.00011052538679160511,0.00011052538679160511
allenai/OLMo-2-1124-7B,main,compositional_translate_eng_fr_first,True,,False,0.2658959537572254,46,173,0.2658959537572254,46,173,9.702899205202312,913265.2052755039,0.00021937037285131618,0.00021937037285131618
