model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_MA2,correct_MA2,total_MA2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,9.795442708333333,27864.63055152314,0.00010093938351524468,0.00010093938351524468
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,11.955208333333333,252052.3494016431,1.2302252101757447e-05,1.2302252101757447e-05
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.990104166666667,584265.5576848794,3.0608540488090486e-06,3.0608540488090486e-06
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.224479166666667,311084.36671722314,8.269610362337668e-06,8.269610362337668e-06
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.922395833333333,783482.9299606284,3.6187632892470707e-06,3.6187632892470707e-06
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.99140625,877367.902901376,3.7339334810041896e-06,3.7339334810041896e-06
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.98125,666556.1187415513,3.647863889988929e-06,3.647863889988929e-06
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.634635416666667,505773.3545655234,5.022258828753616e-06,5.022258828753616e-06
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.73515625,556523.5462231808,4.368982804780412e-06,4.368982804780412e-06
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.31953125,343077.33271837444,6.356506713352789e-06,6.356506713352789e-06
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.146354166666667,812485.6490931623,2.892275238703357e-06,2.892275238703357e-06
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.05234375,744836.2052679372,4.062360007185446e-06,4.062360007185446e-06
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.3,806518.3479319728,2.2920969445880488e-06,2.2920969445880488e-06
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.45078125,1029681.9899983113,2.3686581581542815e-06,2.3686581581542815e-06
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.368489583333334,955267.1837320223,2.4318706008637348e-06,2.4318706008637348e-06
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.365104166666667,314849.8608110877,5.6972814175646765e-06,5.6972814175646765e-06
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.706510416666667,479659.00462909415,4.621843820371155e-06,4.621843820371155e-06
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.20546875,756422.5440667714,2.62028969280231e-06,2.62028969280231e-06
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,13.381770833333333,893427.3523380001,2.172480897053464e-06,2.172480897053464e-06
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.966145833333334,615602.220256235,3.5270299963822717e-06,3.5270299963822717e-06
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.929947916666666,688785.3507231851,4.252430292737345e-06,4.252430292737345e-06
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,12.972916666666666,712476.6746922003,4.104460291435323e-06,4.104460291435323e-06
allenai/OLMo-2-1124-7B,main,textfrct_MA2,True,,False,0.0,0,30,0.0,0,30,14.501302083333334,3861192.239910127,1.2486180371757082e-06,1.2486180371757082e-06
