model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_I2,correct_I2,total_I2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,5.7919921875,455.7188197010382,0.004162112440075572,0.004162112440075572
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,9.229631696428571,15090.488185383812,0.00016141883534229418,0.00016141883534229418
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.166294642857142,4342.411634991609,0.00035720128127581945,0.00035720128127581945
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,7.6806640625,2639.4404872078085,0.0005511766767349163,0.0005511766767349163
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,7.509347098214286,2336.3419533427373,0.00067816765842769,0.00067816765842769
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.088448660714286,4039.473908464559,0.0003649031861166453,0.0003649031861166453
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.397181919642858,4886.137977695081,0.0002486751318112756,0.0002486751318112756
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.828962053571429,8057.084581556492,0.00019496777706373892,0.00019496777706373892
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,9.153041294642858,10797.253675008647,0.0001234863947038179,0.0001234863947038179
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,7.601841517857143,2723.8515845824027,0.0006288301832035034,0.0006288301832035034
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.3720703125,4765.881644386428,0.0002609189078794722,0.0002609189078794722
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,9.382533482142858,13264.81973637314,9.749823893069075e-05,9.749823893069075e-05
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.268694196428571,5098.566762173302,0.0003345126529469733,0.0003345126529469733
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.190150669642858,4658.460956553349,0.0003480903534122475,0.0003480903534122475
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.491629464285714,5519.413875926992,0.00023588270845416914,0.00023588270845416914
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.870814732142858,9388.238053809639,0.00018186251433089602,0.00018186251433089602
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,9.477260044642858,19921.103344024803,0.00010131839543925839,0.00010131839543925839
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,9.1640625,12100.865115967377,0.0001465789150799273,0.0001465789150799273
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,9.401506696428571,19489.605069632416,0.0001111012244800894,0.0001111012244800894
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,9.056082589285714,11619.84693284037,0.00016769896964944855,0.00016769896964944855
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,9.329938616071429,12971.957045369727,0.00010640566273640718,0.00010640566273640718
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,8.4326171875,5631.806573008849,0.0002822401510719202,0.0002822401510719202
allenai/OLMo-2-1124-7B,main,textfrct_I2,True,,False,0.0,0,28,0.0,0,28,11.953683035714286,191372.03883241382,8.124008806469904e-06,8.124008806469904e-06
