model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng,correct_translate_sp_eng,total_translate_sp_eng,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,simple_icl_translate_sp_eng,True,,False,0.0,0,178,0.0,0,178,11.685437148876405,245291.7152503209,9.788987958523161e-06,2.6989579138165906e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,simple_icl_translate_sp_eng,True,,False,0.011235955056179775,2,178,0.011235955056179775,2,178,12.111306179775282,4181162.5276538213,2.4719607597480397e-05,0.0007839022822939131
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,simple_icl_translate_sp_eng,True,,False,0.48314606741573035,86,178,0.48314606741573035,86,178,8.550847085674157,6706382.774026323,0.0007894229371316726,0.003944869318077086
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,simple_icl_translate_sp_eng,True,,False,0.6629213483146067,118,178,0.6629213483146067,118,178,7.70190704002809,15389243.888931172,0.000981025749772526,0.005043539011384198
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,simple_icl_translate_sp_eng,True,,False,0.6966292134831461,124,178,0.6966292134831461,124,178,7.709522033005618,282708.832030253,0.0006916483811004111,0.004160056785046627
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,simple_icl_translate_sp_eng,True,,False,0.7471910112359551,133,178,0.7471910112359551,133,178,8.010544680477528,311904.40414697456,0.0003823058510875275,0.003346762950500943
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,simple_icl_translate_sp_eng,True,,False,0.7752808988764045,138,178,0.7752808988764045,138,178,7.472787921348314,105871.7294370619,0.0006083528133457984,0.004113603887643916
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,simple_icl_translate_sp_eng,True,,False,0.7584269662921348,135,178,0.7584269662921348,135,178,7.057282522823034,15838.311139201374,0.000995917979779474,0.0061139867074904404
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,simple_icl_translate_sp_eng,True,,False,0.7921348314606742,141,178,0.7921348314606742,141,178,7.404132285814606,42008.87396514653,0.0005663956090071414,0.004697146139170973
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,simple_icl_translate_sp_eng,True,,False,0.7752808988764045,138,178,0.7752808988764045,138,178,7.52366792485955,41993.99285505496,0.0004744099620105091,0.004372577939235392
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,simple_icl_translate_sp_eng,True,,False,0.8202247191011236,146,178,0.8202247191011236,146,178,7.253609989466292,11899.399920014324,0.0005859300259684942,0.004887754053656432
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,simple_icl_translate_sp_eng,True,,False,0.7752808988764045,138,178,0.7752808988764045,138,178,7.474894662921348,26613.963439709874,0.0005609045520809408,0.004461026086228465
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,simple_icl_translate_sp_eng,True,,False,0.7921348314606742,141,178,0.7921348314606742,141,178,7.602593925561798,92531.64916551756,0.0004928551381485762,0.004062878097927867
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,simple_icl_translate_sp_eng,True,,False,0.8426966292134831,150,178,0.8426966292134831,150,178,6.984375,343794.1172970514,0.0007733140652658329,0.005477133981819754
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,simple_icl_translate_sp_eng,True,,False,0.8651685393258427,154,178,0.8651685393258427,154,178,6.66869294241573,22026.60701913184,0.001153725560755612,0.005880591311325482
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,simple_icl_translate_sp_eng,True,,False,0.848314606741573,151,178,0.848314606741573,151,178,7.305576281601123,9943.46915144725,0.00046276467857511613,0.004343756558905255
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,simple_icl_translate_sp_eng,True,,False,0.8258426966292135,147,178,0.8258426966292135,147,178,6.704946453651686,21151.772344326644,0.001143244647965748,0.006546636583508485
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,simple_icl_translate_sp_eng,True,,False,0.8595505617977528,153,178,0.8595505617977528,153,178,6.624188026685394,3384.4434755380994,0.0010405555137636283,0.006831588202537984
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,simple_icl_translate_sp_eng,True,,False,0.8764044943820225,156,178,0.8764044943820225,156,178,6.70530854985955,18237.974975016223,0.0009094769833594367,0.006243725532425662
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,simple_icl_translate_sp_eng,True,,False,0.8426966292134831,150,178,0.8426966292134831,150,178,6.39550232619382,8383.377558226219,0.001308986282593964,0.006978352883438864
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,simple_icl_translate_sp_eng,True,,False,0.8258426966292135,147,178,0.8258426966292135,147,178,6.635193556882022,49594.38192290491,0.0011400737598529964,0.006972680757049376
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,simple_icl_translate_sp_eng,True,,False,0.8426966292134831,150,178,0.8426966292134831,150,178,6.805290993679775,8747.751287705149,0.0008669506115679999,0.006023224811487968
allenai/OLMo-2-1124-7B,main,simple_icl_translate_sp_eng,True,,False,0.9213483146067416,164,178,0.9213483146067416,164,178,6.317042661516854,3560.368231760832,0.0011545412400561276,0.007167891185572527
