model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_reverse_last,correct_reverse_last,total_reverse_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_reverse_last,True,,False,0.0,0,36,0.0,0,36,8.275390625,5195.459443166939,0.0003236089535587287,0.0003236089535587287
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_reverse_last,True,,False,0.5,18,36,0.5,18,36,9.878255208333334,39055.82774264139,0.00010890494760148792,0.00010890494760148792
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_reverse_last,True,,False,1.0,36,36,1.0,36,36,7.306098090277778,2616.245188392166,0.0010634317032697745,0.0010634317032697745
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_reverse_last,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,8.81662326388889,9967.171182469128,0.0002190026952445855,0.0002190026952445855
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_reverse_last,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,7.956597222222222,5591.434928185441,0.0005577732564226066,0.0005577732564226066
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_reverse_last,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,8.534288194444445,9495.35606225539,0.00040387217386432983,0.00040387217386432983
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_reverse_last,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.22439236111111,7355.325482742137,0.0005646410503647321,0.0005646410503647321
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_reverse_last,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,8.35666232638889,7981.650364672036,0.0003859516614999031,0.0003859516614999031
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_reverse_last,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.900390625,13601.788311756782,0.00027501452033699416,0.00027501452033699416
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_reverse_last,True,,False,1.0,36,36,1.0,36,36,8.09743923611111,8793.843526295612,0.0006522288658904476,0.0006522288658904476
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_reverse_last,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.174479166666666,5080.5188583186455,0.00043740720189082205,0.00043740720189082205
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_reverse_last,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,8.826497395833334,10769.479562160648,0.0003839952144528168,0.0003839952144528168
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_reverse_last,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.874891493055555,4235.049342279028,0.0006081563780224208,0.0006081563780224208
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_reverse_last,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,7.866427951388889,4498.271525263604,0.00055782572162539,0.00055782572162539
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_reverse_last,True,,False,1.0,36,36,1.0,36,36,6.808051215277778,1324.1544953450984,0.0015792809736270735,0.0015792809736270735
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_reverse_last,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,7.980251736111111,5897.827906407061,0.0005681639417260365,0.0005681639417260365
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_reverse_last,True,,False,1.0,36,36,1.0,36,36,9.035047743055555,13210.6351853195,0.0001869723489007599,0.0001869723489007599
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_reverse_last,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,8.55490451388889,7270.002274784684,0.0002731260613862968,0.0002731260613862968
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_reverse_last,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,8.30837673611111,8264.976926391533,0.00048350423497106,0.00048350423497106
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_reverse_last,True,,False,1.0,36,36,1.0,36,36,7.925455729166667,5207.035381864849,0.0006005492190180524,0.0006005492190180524
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_reverse_last,True,,False,0.8888888888888888,32,36,0.8888888888888888,32,36,8.199327256944445,5257.758952758709,0.0003705438940928717,0.0003705438940928717
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_reverse_last,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.983181423611111,4053.793276066739,0.00046323769417028985,0.00046323769417028985
allenai/OLMo-2-1124-7B,main,compositional_reverse_last,True,,False,1.0,36,36,1.0,36,36,7.649848090277778,2927.722847036326,0.0006837227184716201,0.0006837227184716201
