model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_first_letter,correct_first_letter,total_first_letter,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,simple_icl_first_letter,True,,False,0.0,0,190,0.0,0,190,8.187582236842106,4656.514554234061,0.00038396494842214793,0.00038396494842214793
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,simple_icl_first_letter,True,,False,0.07368421052631578,14,190,0.07368421052631578,14,190,10.589597039473684,57262.13472588227,3.6696441127460815e-05,3.6696441127460815e-05
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,simple_icl_first_letter,True,,False,0.5894736842105263,112,190,0.5894736842105263,112,190,7.869880756578947,3995.44712329936,0.0005597385472455182,0.0005597385472455182
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,simple_icl_first_letter,True,,False,0.4052631578947368,77,190,0.4052631578947368,77,190,8.91217105263158,11375.390045913668,0.0002167465837275224,0.0002167465837275224
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,simple_icl_first_letter,True,,False,0.6631578947368421,126,190,0.6631578947368421,126,190,8.839967105263158,12065.471473870959,0.000220148962656089,0.000220148962656089
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,simple_icl_first_letter,True,,False,0.41578947368421054,79,190,0.41578947368421054,79,190,9.34358552631579,21101.76220222819,0.00015923790007406382,0.00015923790007406382
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,simple_icl_first_letter,True,,False,0.5631578947368421,107,190,0.5631578947368421,107,190,7.083244243421053,2295.9062039305745,0.0012317095085503822,0.0012317095085503822
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,simple_icl_first_letter,True,,False,0.7526315789473684,143,190,0.7526315789473684,143,190,8.867989309210527,9533.860899717249,0.00018849361053229163,0.00018849361053229163
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,simple_icl_first_letter,True,,False,0.5473684210526316,104,190,0.5473684210526316,104,190,9.278721217105263,19394.61251532428,0.00015363565238822604,0.00015363565238822604
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,simple_icl_first_letter,True,,False,0.5789473684210527,110,190,0.5789473684210527,110,190,7.931291118421052,5796.118011977245,0.0005491683534358107,0.0005491683534358107
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,simple_icl_first_letter,True,,False,0.6,114,190,0.6,114,190,8.716776315789474,14000.675120111619,0.0002705611485877221,0.0002705611485877221
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,simple_icl_first_letter,True,,False,0.3473684210526316,66,190,0.3473684210526316,66,190,9.604584703947369,40592.35174120836,0.00012859731701754298,0.00012859731701754298
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,simple_icl_first_letter,True,,False,0.5894736842105263,112,190,0.5894736842105263,112,190,7.9438733552631575,7625.709165892782,0.0005789932799992141,0.0005789932799992141
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,simple_icl_first_letter,True,,False,0.5,95,190,0.5,95,190,8.287068256578948,18128.31597251067,0.00048715051172812455,0.00048715051172812455
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,simple_icl_first_letter,True,,False,0.48947368421052634,93,190,0.48947368421052634,93,190,8.162376644736842,12492.48092685889,0.0005709620182081908,0.0005709620182081908
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,simple_icl_first_letter,True,,False,0.5105263157894737,97,190,0.5105263157894737,97,190,8.455674342105263,26808.71944413142,0.00038690310204248125,0.00038690310204248125
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,simple_icl_first_letter,True,,False,0.6578947368421053,125,190,0.6578947368421053,125,190,9.878310032894737,59079.65078859478,9.186186566118564e-05,9.186186566118564e-05
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,simple_icl_first_letter,True,,False,0.5526315789473685,105,190,0.5526315789473685,105,190,9.058675986842106,30424.694138102866,0.00023135646980662988,0.00023135646980662988
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,simple_icl_first_letter,True,,False,0.7210526315789474,137,190,0.7210526315789474,137,190,8.0671875,9284.914244464782,0.000552461522139012,0.000552461522139012
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,simple_icl_first_letter,True,,False,0.7631578947368421,145,190,0.7631578947368421,145,190,8.25787417763158,16239.624907685818,0.0005097198214604599,0.0005097198214604599
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,simple_icl_first_letter,True,,False,0.5,95,190,0.5,95,190,10.221196546052632,54930.21825812076,6.595548014541254e-05,6.595548014541254e-05
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,simple_icl_first_letter,True,,False,0.5578947368421052,106,190,0.5578947368421052,106,190,9.086328125,30216.303360727445,0.000209103176724148,0.000209103176724148
allenai/OLMo-2-1124-7B,main,simple_icl_first_letter,True,,False,0.6684210526315789,127,190,0.6684210526315789,127,190,8.434560032894737,16353.735640883411,0.00038234506790791776,0.00038234506790791776
