model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng,correct_translate_fr_eng,total_translate_fr_eng,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,simple_icl_translate_fr_eng,True,,False,0.0,0,175,0.0,0,175,11.682857142857143,246479.82052269383,1.1258427227321137e-05,2.9770406037061603e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,simple_icl_translate_fr_eng,True,,False,0.005714285714285714,1,175,0.005714285714285714,1,175,11.995066964285714,2743748.3899053563,2.4846647128883837e-05,0.0010271848759484284
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,simple_icl_translate_fr_eng,True,,False,0.42857142857142855,75,175,0.42857142857142855,75,175,8.813816964285714,11806360.988697138,0.0007255536037523856,0.0037855016613529704
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,simple_icl_translate_fr_eng,True,,False,0.6057142857142858,106,175,0.6057142857142858,106,175,8.435825892857142,26734478.164347805,0.0007337526831223077,0.0037895878827352222
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,simple_icl_translate_fr_eng,True,,False,0.6628571428571428,116,175,0.6628571428571428,116,175,8.159620535714286,11094069.363914233,0.0008731058446165517,0.004812822016121672
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,simple_icl_translate_fr_eng,True,,False,0.6628571428571428,116,175,0.6628571428571428,116,175,8.669174107142856,5562661.926450946,0.0003816473134207056,0.003320511260906316
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,simple_icl_translate_fr_eng,True,,False,0.6742857142857143,118,175,0.6742857142857143,118,175,8.247991071428572,1453044.5869791638,0.0004759469437131873,0.0036538106101905044
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,simple_icl_translate_fr_eng,True,,False,0.7257142857142858,127,175,0.7257142857142858,127,175,7.6911049107142855,1099889.873750586,0.0010667037929029983,0.00608322241231856
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,simple_icl_translate_fr_eng,True,,False,0.72,126,175,0.72,126,175,8.442087053571429,3378802.0464882157,0.00038591756651394947,0.004026434590409049
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,simple_icl_translate_fr_eng,True,,False,0.7428571428571429,130,175,0.7428571428571429,130,175,8.147611607142856,1701931.3105369853,0.0003892723838467383,0.003992652089166068
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,simple_icl_translate_fr_eng,True,,False,0.7314285714285714,128,175,0.7314285714285714,128,175,7.829386160714286,386514.21079794253,0.0006252335472117872,0.005190013726301007
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,simple_icl_translate_fr_eng,True,,False,0.7428571428571429,130,175,0.7428571428571429,130,175,7.685580357142857,654436.8420995702,0.0007471132304299314,0.005061410580562156
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,simple_icl_translate_fr_eng,True,,False,0.7371428571428571,129,175,0.7371428571428571,129,175,8.238348214285715,1198143.2025388922,0.00046034639024363514,0.004001111625428289
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,simple_icl_translate_fr_eng,True,,False,0.7942857142857143,139,175,0.7942857142857143,139,175,7.4925669642857144,332717.458785761,0.0007423473730805327,0.00552602219292074
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,simple_icl_translate_fr_eng,True,,False,0.7714285714285715,135,175,0.7714285714285715,135,175,6.8956696428571425,53578.7299470838,0.0012469583810831323,0.006502838404895447
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,simple_icl_translate_fr_eng,True,,False,0.7828571428571428,137,175,0.7828571428571428,137,175,8.068002232142858,574497.8347468252,0.0003644005046239631,0.0036826776089426494
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,simple_icl_translate_fr_eng,True,,False,0.7828571428571428,137,175,0.7828571428571428,137,175,7.117366071428571,150649.4340702036,0.0010485267557869837,0.0061539519074857475
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,simple_icl_translate_fr_eng,True,,False,0.7885714285714286,138,175,0.7885714285714286,138,175,7.231953125,47278.05554040378,0.0007933994105884485,0.006179142046439725
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,simple_icl_translate_fr_eng,True,,False,0.8057142857142857,141,175,0.8057142857142857,141,175,7.276383928571429,161688.02257034223,0.0006907309554927092,0.005244570492488859
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,simple_icl_translate_fr_eng,True,,False,0.8285714285714286,145,175,0.8285714285714286,145,175,7.140613839285714,251833.7818045725,0.0007708316068246276,0.005801967210971797
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,simple_icl_translate_fr_eng,True,,False,0.8285714285714286,145,175,0.8285714285714286,145,175,7.1515290178571425,85783.39133252067,0.0007545518397836046,0.004978506057457507
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,simple_icl_translate_fr_eng,True,,False,0.8171428571428572,143,175,0.8171428571428572,143,175,7.458493303571428,434552.27104373934,0.0006971958100362416,0.005505899836043877
allenai/OLMo-2-1124-7B,main,simple_icl_translate_fr_eng,True,,False,0.8971428571428571,157,175,0.8971428571428571,157,175,6.048203125,2171.4776173282207,0.0019014470512975813,0.009187434557713845
