model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_reverse,correct_lower_reverse,total_lower_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,10.17795138888889,54695.45489621315,9.19118326095255e-08,6.822662759891359e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,9.417317708333334,74153.47666616106,4.3000952701901535e-08,0.0002496902991624426
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.9365234375,39745.062589930705,4.041635175182569e-07,0.0004450931751571357
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.662543402777779,22063.125890741212,4.130544606821969e-07,0.0006965409722962275
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.4248046875,20279.38732571019,2.0653450772892574e-07,0.0006273591229505802
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.208658854166666,22805.106139422354,1.1320543350373236e-06,0.0009456132784511931
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.8837890625,27738.501912915697,1.343210020891954e-06,0.0011868190241543898
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.853841145833333,18528.850219197073,8.294453949673227e-06,0.0019622692994543875
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.094835069444445,34152.89971721286,6.38222047909637e-07,0.0009497613604327051
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.310980902777778,9198.856095843066,8.830280373205469e-06,0.0020797437592300332
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.606716579861111,7415.614912994992,1.5269968156998953e-05,0.0017247741388808843
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,8.136176215277779,15880.911774959968,5.950176406353758e-07,0.0007577635230525723
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.672526041666667,10390.417064524867,3.312266518215693e-06,0.0013883068736096958
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_lower_reverse,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,6.868869357638889,9613.11673203608,2.4905705240232274e-05,0.0033452272244407695
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.419921875,8125.364810794879,5.227788855221263e-06,0.0020575001804562596
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.807183159722222,16655.984250533835,5.127514279792839e-07,0.0011701176230152492
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.594292534722222,7705.93897752906,2.428873507877682e-06,0.0014980979506495529
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.771918402777778,13703.042545898415,2.1800654376963966e-06,0.0012588541288240198
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,6.769639756944445,2465.060922941024,4.177733302556778e-06,0.0023319722069063023
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.1533203125,6026.666693438639,9.666885965168252e-06,0.002131365908104476
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.9150390625,45515.85225402916,7.528001016066955e-07,0.0014264857415019528
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_lower_reverse,True,,False,0.0,0,36,0.0,0,36,7.451171875,13165.821908157377,4.282166902381421e-06,0.0021662965652768404
allenai/OLMo-2-1124-7B,main,compositional_lower_reverse,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,5.5087890625,759.1852951559532,0.00011284383690200082,0.009105319859139122
