model,checkpoint,string_analogy
allenai/OLMo-2-1124-7B,main,6.294786241319445
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.305772569444445
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,6.872395833333333
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,7.303385416666667
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.05859375
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.698784722222221
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,7.576171875
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,6.469835069444445
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,6.867730034722222
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.454210069444445
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,7.090277777777778
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.195746527777779
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.533962673611111
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.017144097222221
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.992621527777778
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,7.616102430555555
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.817274305555555
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.730034722222221
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.80078125
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.350911458333333
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.240451388888889
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.564670138888889
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.434027777777778
