model,checkpoint,task,success,error,cached,accuracy,correct,total,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,copying,True,,False,0.0,0,20,10.2228515625,177649.79628623003,1.4163755809947104e-06,9.339628381705902e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,copying,True,,False,0.95,19,20,2.320967102050781,478.56982600159307,0.25607982864468715,0.35384361636989203
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,copying,True,,False,0.95,19,20,2.467179870605469,559.1500136248185,0.2595085692484172,0.34397621708947257
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,copying,True,,False,1.0,20,20,2.3743983268737794,265.24289589883,0.2888988027842275,0.3505963688864885
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,copying,True,,False,1.0,20,20,2.6300416946411134,725.4685889494518,0.2949088808436382,0.34951244113190477
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,copying,True,,False,0.95,19,20,2.6241556644439696,448.82768393619506,0.2965545096491418,0.35077911502429715
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,copying,True,,False,0.95,19,20,2.5589773654937744,1027.913141480005,0.2970402447904094,0.35518004172497775
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,copying,True,,False,1.0,20,20,2.3697669506073,319.58911298391234,0.295408520875697,0.36144295755132605
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,copying,True,,False,1.0,20,20,2.52337703704834,488.9687704694958,0.2835967139017703,0.344635455681232
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,copying,True,,False,1.0,20,20,2.4124506950378417,250.03915577706502,0.29468199821745605,0.35393627943431316
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,copying,True,,False,1.0,20,20,2.6131795406341554,505.9638271542718,0.2967285369719328,0.34782734329848347
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,copying,True,,False,1.0,20,20,2.3874855518341063,136.37262167701263,0.2966330422015893,0.35582165516939457
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,copying,True,,False,1.0,20,20,2.420078182220459,270.47276357123417,0.2925528109636811,0.354857209883962
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,copying,True,,False,1.0,20,20,2.560972881317139,367.0467942489597,0.2934902959644171,0.3475954290853948
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,copying,True,,False,1.0,20,20,2.2960060119628904,116.02259216002793,0.2867297280460715,0.3542919291049925
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,copying,True,,False,1.0,20,20,2.521718215942383,446.54403187572905,0.29332292925975517,0.35277796701806924
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,copying,True,,False,1.0,20,20,2.4355120182037355,200.82240026784342,0.29332614337669244,0.35403217123617686
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,copying,True,,False,1.0,20,20,2.408960723876953,166.75629038547632,0.27900508656573414,0.35033105615572413
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,copying,True,,False,1.0,20,20,2.514513397216797,457.91507836962836,0.2873616033368085,0.35080174315208057
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,copying,True,,False,1.0,20,20,2.584084320068359,489.85598497103484,0.2765830468265325,0.34721239493321593
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,copying,True,,False,1.0,20,20,2.5513050079345705,412.4976685099752,0.28345354559739805,0.3478860025906255
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,copying,True,,False,1.0,20,20,2.482412338256836,238.30144475953367,0.27950528354116966,0.35078042020101874
allenai/OLMo-2-1124-7B,main,copying,True,,False,1.0,20,20,2.7340253829956054,576.9047651373288,0.2837664458738569,0.3384685396719382
