model,checkpoint,compositional_translate_fr_eng_first
allenai/OLMo-2-1124-7B,main,10.022934941520468
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,9.489309210526315
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,10.925073099415204
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,11.76190149853801
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,11.090072185672515
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.127627010233919
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,10.469343932748538
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,10.983598318713451
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,10.423656798245615
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,10.077576754385966
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,10.494106359649123
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,10.818393640350877
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,10.001073647660819
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,10.449424342105264
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,10.57250548245614
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,10.98846399853801
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.797674524853802
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,11.137495431286549
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,10.328627558479532
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,10.712833516081872
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,10.647866410818713
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,10.01107913011696
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,9.247418676900585
