model,checkpoint,simple_icl_country_to_capital
allenai/OLMo-2-1124-7B,main,0.8641304347826086
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.6521739130434783
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.875
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.8641304347826086
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.8315217391304348
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.8043478260869565
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.8586956521739131
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.8206521739130435
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.782608695652174
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.8369565217391305
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.8097826086956522
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.8532608695652174
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.7989130434782609
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.7554347826086957
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.8369565217391305
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.842391304347826
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.3641304347826087
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.8532608695652174
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.7934782608695652
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.842391304347826
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.8152173913043478
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.8260869565217391
