model,checkpoint,compositional_gerund_first
allenai/OLMo-2-1124-7B,main,6.614049332865169
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.518543714887641
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,8.141283356741573
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,9.144224016853933
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.048674508426966
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.138649929775282
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.71802580758427
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.647888869382022
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.473665730337078
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.556245610955056
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,9.068622717696629
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.162965238764045
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.690989290730337
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,7.523613061797753
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.96460235252809
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.686907478932584
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.882593047752809
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,9.828520014044944
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,8.209357443820224
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.76810481039326
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.683045119382022
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.819237183988764
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.02857268258427
