model,checkpoint,compositional_plural_last
allenai/OLMo-2-1124-7B,main,6.553125
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.000568181818181
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,8.139086174242424
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,9.162002840909091
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.77125946969697
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.557741477272727
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.37817234848485
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.528716856060607
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.997372159090909
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,6.969105113636363
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.497514204545455
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.475236742424242
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.3522727272727275
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,7.997466856060606
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.587689393939394
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.323982007575758
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,6.799337121212122
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.347443181818182
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,8.374763257575758
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.281202651515152
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.450071022727272
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.649621212121212
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,6.703101325757576
