model,checkpoint,textfrct_CV1
allenai/OLMo-2-1124-7B,main,5.938840942382813
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,10.8884375
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,8.33193359375
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,7.9733935546875
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.723837890625
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.70203125
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,10.42734375
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,7.97017578125
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.59072265625
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,10.0459765625
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.072119140625
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.8326171875
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,8.700302734375
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.9439453125
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,9.6794140625
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.2722265625
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.6512890625
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,11.169375
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.511875
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,8.568369140625
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.616484375
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,8.78640625
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,8.2658984375
