model,checkpoint,token_reversal
allenai/OLMo-2-1124-7B,main,4.15
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,6.783331298828125
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,4.9327880859375
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,4.933380126953125
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,4.9590576171875
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.24921875
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,6.9248046875
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,4.089959716796875
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,4.971435546875
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,6.664532470703125
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,4.575390625
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,6.52138671875
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,4.44976806640625
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,6.34327392578125
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,6.3064453125
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,6.1380859375
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,6.1855712890625
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.4337890625
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,5.2808349609375
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,5.368896484375
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,5.6885986328125
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,5.244189453125
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,4.697412109375
