model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_first,correct_lower_first,total_lower_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_lower_first,True,,False,0.0,0,36,0.0,0,36,8.272786458333334,4961.731523545681,0.0003357678480432679,0.0003357678480432679
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_lower_first,True,,False,0.5833333333333334,21,36,0.5833333333333334,21,36,9.655598958333334,33391.22597747842,0.00013919169699415344,0.00013919169699415344
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_lower_first,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,7.498697916666667,3358.8889070897367,0.0010278069186097577,0.0010278069186097577
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_lower_first,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,8.919487847222221,15183.590487270803,0.00027528834707614473,0.00027528834707614473
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_lower_first,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,7.885308159722222,5415.96200325677,0.0006192491146996589,0.0006192491146996589
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_lower_first,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,8.357747395833334,10005.742341930136,0.0007968378765583472,0.0007968378765583472
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_lower_first,True,,False,1.0,36,36,1.0,36,36,8.122395833333334,8059.136690514125,0.000488567796760722,0.000488567796760722
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_lower_first,True,,False,0.8333333333333334,30,36,0.8333333333333334,30,36,8.45041232638889,10022.26289353455,0.00035951882283611513,0.00035951882283611513
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_lower_first,True,,False,1.0,36,36,1.0,36,36,8.941297743055555,13679.881238362284,0.0002778598328226805,0.0002778598328226805
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_lower_first,True,,False,1.0,36,36,1.0,36,36,8.26052517361111,6826.931392099108,0.0004981603501650401,0.0004981603501650401
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_lower_first,True,,False,1.0,36,36,1.0,36,36,8.196940104166666,5195.760251121143,0.0004004255461617036,0.0004004255461617036
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_lower_first,True,,False,1.0,36,36,1.0,36,36,8.862196180555555,10725.444775387019,0.00030500061964796455,0.00030500061964796455
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_lower_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.912326388888889,5810.117994157097,0.0006091403458372604,0.0006091403458372604
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_lower_first,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,7.879014756944445,4624.253033735107,0.0006420608878444919,0.0006420608878444919
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_lower_first,True,,False,1.0,36,36,1.0,36,36,6.918619791666667,1516.1319654870958,0.0013676825042672346,0.0013676825042672346
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_lower_first,True,,False,1.0,36,36,1.0,36,36,8.107855902777779,7452.148644134255,0.0005146477336188751,0.0005146477336188751
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_lower_first,True,,False,1.0,36,36,1.0,36,36,8.864908854166666,13128.861131201038,0.00019937933524848687,0.00019937933524848687
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_lower_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.551323784722221,9138.013759283567,0.00032808660162862886,0.00032808660162862886
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_lower_first,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,8.175238715277779,6839.46534405698,0.0004920055683476237,0.0004920055683476237
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_lower_first,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,8.048828125,5183.071901947031,0.000503575188418038,0.000503575188418038
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_lower_first,True,,False,0.8888888888888888,32,36,0.8888888888888888,32,36,8.269097222222221,6836.223961765602,0.00040284773287742835,0.00040284773287742835
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_lower_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.020399305555555,4888.226197339622,0.0004933241503192351,0.0004933241503192351
allenai/OLMo-2-1124-7B,main,compositional_lower_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.399305555555555,2334.7872921937783,0.0008266032333124108,0.0008266032333124108
