model,checkpoint,textfrct
allenai/OLMo-2-1124-7B,main,7.185914101199395
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.898823538405088
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,8.081907029721135
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,8.152482781158268
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.376124671294031
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.504173801369863
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,9.10814426369863
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,7.238965417074364
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.83842477219912
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.613814441658513
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,7.77193825678816
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.896667838796478
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,8.014886367111057
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.627381207191782
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.87200724681996
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.06935313723092
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.781429641634051
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.400474712573386
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.628822162426614
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.644046790912427
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.415060084393346
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.94409323018591
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,8.531118135396282
