model,checkpoint,compositional_lower_last
allenai/OLMo-2-1124-7B,main,8.453016493055555
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,9.514973958333334
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,10.347547743055555
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,10.942816840277779
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,10.351453993055555
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,7.929036458333333
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,10.2880859375
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,10.196614583333334
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,9.65353732638889
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,10.01540798611111
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,10.0517578125
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.57009548611111
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,9.48611111111111
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.955512152777779
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,9.991536458333334
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.985460069444445
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.08029513888889
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,10.902994791666666
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.843315972222221
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,10.120008680555555
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,10.202039930555555
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,8.733832465277779
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,8.32421875
