model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr,correct_translate_eng_fr,total_translate_eng_fr,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,simple_icl_translate_eng_fr,True,,False,0.0,0,173,0.0,0,173,11.0152637283237,226251.15358679183,2.3001443290818094e-06,3.5726641100352394e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,simple_icl_translate_eng_fr,True,,False,0.10982658959537572,19,173,0.10982658959537572,19,173,7.463906701589595,582752.8158999773,6.396718989576688e-05,0.004975339317831157
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,simple_icl_translate_eng_fr,True,,False,0.4046242774566474,70,173,0.4046242774566474,70,173,6.486040236632948,1848610.366312004,0.0006892760635089175,0.011390099002115338
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,simple_icl_translate_eng_fr,True,,False,0.5433526011560693,94,173,0.5433526011560693,94,173,5.647709311777457,87849.61875724683,0.0011273053943176975,0.016445087990150178
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,simple_icl_translate_eng_fr,True,,False,0.6358381502890174,110,173,0.6358381502890174,110,173,6.039621342124278,39767.0843476139,0.0004893054888490212,0.01413902940420678
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,simple_icl_translate_eng_fr,True,,False,0.6473988439306358,112,173,0.6473988439306358,112,173,5.705337789017341,42751.88817279391,0.0006392054203996163,0.014817172976862318
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,simple_icl_translate_eng_fr,True,,False,0.6705202312138728,116,173,0.6705202312138728,116,173,5.5618282604768785,72760.68049092167,0.0006659240039429953,0.017733071910470858
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,simple_icl_translate_eng_fr,True,,False,0.7167630057803468,124,173,0.7167630057803468,124,173,5.577966943641618,46173.09689199882,0.000591080440489358,0.016639791825119248
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,simple_icl_translate_eng_fr,True,,False,0.7572254335260116,131,173,0.7572254335260116,131,173,5.748080744219653,12026.578134663852,0.0008578333932407552,0.013505465345585778
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,simple_icl_translate_eng_fr,True,,False,0.7456647398843931,129,173,0.7456647398843931,129,173,5.166630915823699,7542.73404307632,0.0014410454980409591,0.021627745960917096
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,simple_icl_translate_eng_fr,True,,False,0.7167630057803468,124,173,0.7167630057803468,124,173,5.543505012644508,15200.08436215202,0.0005042593528216104,0.01656267029282607
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,simple_icl_translate_eng_fr,True,,False,0.6994219653179191,121,173,0.6994219653179191,121,173,5.036889225072255,6182.056494709615,0.0010264061672603715,0.023115913595470557
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,simple_icl_translate_eng_fr,True,,False,0.7630057803468208,132,173,0.7630057803468208,132,173,5.383049584537572,16934.705326843272,0.000677217916669023,0.018674498858347193
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,simple_icl_translate_eng_fr,True,,False,0.7572254335260116,131,173,0.7572254335260116,131,173,5.220313628973988,6085.522828192886,0.0007728323607649062,0.020015435647712562
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,simple_icl_translate_eng_fr,True,,False,0.7803468208092486,135,173,0.7803468208092486,135,173,5.256440796604046,5112.414603739236,0.0007027245608162368,0.018469867304640872
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,simple_icl_translate_eng_fr,True,,False,0.7745664739884393,134,173,0.7745664739884393,134,173,5.581393379696531,6897.900413734938,0.0004159355935425197,0.01487473083482113
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,simple_icl_translate_eng_fr,True,,False,0.7456647398843931,129,173,0.7456647398843931,129,173,5.400813990245664,6223.380220429868,0.0005731705624015584,0.01605149528925489
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,simple_icl_translate_eng_fr,True,,False,0.8034682080924855,139,173,0.8034682080924855,139,173,5.205648256864162,8864.717813634215,0.0005812050724146063,0.018716960030527086
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,simple_icl_translate_eng_fr,True,,False,0.8265895953757225,143,173,0.8265895953757225,143,173,5.052903721098266,3659.0785788954895,0.0006982130786485917,0.021064060621091507
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,simple_icl_translate_eng_fr,True,,False,0.791907514450867,137,173,0.791907514450867,137,173,5.358878251445087,3128.8810875960553,0.0003768420309551546,0.015430423622204816
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,simple_icl_translate_eng_fr,True,,False,0.7167630057803468,124,173,0.7167630057803468,124,173,5.145699738078035,4940.364020974791,0.0009124749531705627,0.02123347230073414
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,simple_icl_translate_eng_fr,True,,False,0.791907514450867,137,173,0.791907514450867,137,173,4.773872154985549,982.892207922381,0.001267986705692108,0.024651194387831008
allenai/OLMo-2-1124-7B,main,simple_icl_translate_eng_fr,True,,False,0.884393063583815,153,173,0.884393063583815,153,173,4.385730897760116,1093.245456180863,0.0013310906281054195,0.03243871227102
