model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_last_upper,correct_last_upper,total_last_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_last_upper,True,,False,0.0,0,36,0.0,0,36,8.586805555555555,7299.292929293606,0.0002720840659370096,0.0002720840659370096
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.259331597222221,123519.73639626296,2.564089707385859e-05,2.564089707385859e-05
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_last_upper,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,9.64181857638889,48599.44733346325,0.00017736782583373728,0.00017736782583373728
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_last_upper,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,11.083116319444445,104912.92287313132,2.6891691702285263e-05,2.6891691702285263e-05
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_last_upper,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,11.47677951388889,162892.93550657277,1.617562826462894e-05,1.617562826462894e-05
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.112413194444445,129820.28903922925,2.6749838089184184e-05,2.6749838089184184e-05
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.716362847222221,78990.85119384545,4.0893274343504494e-05,4.0893274343504494e-05
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_last_upper,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.326822916666666,81806.97552970528,6.691402831929007e-05,6.691402831929007e-05
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.080078125,124892.58475983882,2.868126482670703e-05,2.868126482670703e-05
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_last_upper,True,,False,0.25,9,36,0.25,9,36,9.48849826388889,25606.714846906267,0.00018101271745817456,0.00018101271745817456
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_last_upper,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,9.71950954861111,29211.15578177203,0.00013146816207289228,0.00013146816207289228
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_last_upper,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,10.4765625,52942.08540121044,4.452207163190206e-05,4.452207163190206e-05
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_last_upper,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.803168402777779,86571.81713698234,4.1158244723402934e-05,4.1158244723402934e-05
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,9.61328125,34743.08108230974,0.0001362517969181373,0.0001362517969181373
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_last_upper,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,9.094075520833334,20890.70034409372,0.0002704372773151458,0.0002704372773151458
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_last_upper,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.37087673611111,54204.00057332259,5.276631643425902e-05,5.276631643425902e-05
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_last_upper,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,10.52734375,63406.94901584636,4.301459845082157e-05,4.301459845082157e-05
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_last_upper,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.220160590277779,58422.91164333382,7.598969734048819e-05,7.598969734048819e-05
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_last_upper,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,11.07443576388889,176516.99981025248,4.9028686153448376e-05,4.9028686153448376e-05
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_last_upper,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.867296006944445,51313.61697956919,0.00012258093610786075,0.00012258093610786075
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_last_upper,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,11.077690972222221,407549.8275462441,3.985171281407431e-05,3.985171281407431e-05
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_last_upper,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.103190104166666,50593.77065736799,8.079400220895032e-05,8.079400220895032e-05
allenai/OLMo-2-1124-7B,main,compositional_last_upper,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.83615451388889,50122.085323603016,9.951520495413222e-05,9.951520495413222e-05
