model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_reverse,correct_plural_reverse,total_plural_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,10.203669507575757,63938.33897536363,2.2197264179455036e-08,6.466883799951861e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,8.551728219696969,28563.882368994633,1.5749383975811063e-08,0.0005091114463214842
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,8.65925662878788,67758.9095242092,2.0688065878674764e-07,0.0005209053746083617
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,8.071614583333334,48758.03563379514,6.035531833923788e-08,0.0009576062973765697
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.984410511363636,15389.351912875607,1.5935242019547106e-07,0.000999077199246583
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,8.064157196969697,39008.36335456868,2.9571103384696384e-07,0.0008987060484271704
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.7909564393939394,8467.883261765137,1.5799130426625907e-06,0.0010572347535021667
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.797064393939394,13422.956572504121,1.9713321467680236e-07,0.001010263950799862
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.972372159090909,17994.488099291477,1.510949172457825e-07,0.00096904577118696
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.487346117424242,11771.700546370603,6.421236707740605e-07,0.001551247622805195
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.698934659090909,12451.90745948287,1.2295012527309894e-07,0.0013066314789225361
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.890033143939394,16730.306541366535,6.538162116613143e-08,0.0010401622158614783
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.933025568181818,41592.11958167547,8.979526029604598e-08,0.0010105915570199622
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.687381628787879,15102.392090657664,1.7007477950872226e-07,0.0012192759853207856
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.6261363636363635,40569.759909158034,2.228306727005968e-07,0.0013462381228344698
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.935416666666667,10114.488718402075,1.6501344364808144e-07,0.0009330411635998368
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.959848484848485,32636.378552620667,2.774020536117685e-07,0.0008804745376828898
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.631593276515152,9920.641925930942,1.539438140953869e-07,0.0012443534823331796
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.60452178030303,8970.47008925062,4.790679662380236e-07,0.001397009446752913
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_plural_reverse,True,,False,0.006060606060606061,1,165,0.006060606060606061,1,165,7.275935132575758,5599.251281266571,9.358026481377629e-07,0.0019237161657459677
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.676136363636363,25605.3143514449,1.404814043177952e-07,0.0013177638813552108
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_plural_reverse,True,,False,0.0,0,165,0.0,0,165,7.768039772727272,39330.9416487583,7.004381612410046e-08,0.0010739247097050085
allenai/OLMo-2-1124-7B,main,compositional_plural_reverse,True,,False,0.006060606060606061,1,165,0.006060606060606061,1,165,6.974491003787879,16389.733159855143,4.1178595601835786e-07,0.0034506594602680264
