model,checkpoint,compositional_plural_reverse
allenai/OLMo-2-1124-7B,main,6.974491003787879
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.65925662878788
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.935416666666667
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,7.959848484848485
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.631593276515152
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.203669507575757
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.071614583333334
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,7.60452178030303
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,7.275935132575758
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.984410511363636
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,7.676136363636363
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,8.064157196969697
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.768039772727272
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,7.7909564393939394
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.797064393939394
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,7.972372159090909
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.487346117424242
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.551728219696969
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.698934659090909
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.890033143939394
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.933025568181818
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.687381628787879
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.6261363636363635
