model,checkpoint,textfrct_V2
allenai/OLMo-2-1124-7B,main,3.3440755208333335
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.322699652777778
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,6.093967013888889
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,6.486111111111111
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.110460069444445
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.384982638888889
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.988932291666666
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,3.9620768229166665
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,5.750759548611111
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,4.744845920138889
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,5.177300347222222
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,10.292534722222221
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,6.214301215277778
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.84592013888889
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.992404513888889
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.5341796875
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,5.249131944444445
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,6.610568576388889
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.694444444444445
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,5.305121527777778
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.3779296875
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,6.002387152777778
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.8896484375
