model,checkpoint,compositional_gerund_upper_reverse
allenai/OLMo-2-1124-7B,main,4.203432233146067
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,5.570246664325842
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,5.435887025983146
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,5.39622103230337
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,5.427163799157303
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.624561095505618
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,5.733310656601123
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,5.58936095505618
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,4.917650544241573
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,5.636740695224719
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,5.30687104985955
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,5.666465502106742
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,5.202938465589888
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,5.248266327247191
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,5.279724806882022
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,5.575008778089888
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,5.345714097612359
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,6.099510621488764
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,5.460070663623595
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,5.643993591994382
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,5.515229985955056
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,5.323659146769663
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,5.183505969101123
