model,checkpoint,simple_icl_lowercase
allenai/OLMo-2-1124-7B,main,7.899188701923077
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.333233173076923
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.4755108173076925
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,9.026442307692308
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.829927884615385
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,8.445913461538462
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,8.369741586538462
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,8.601412259615385
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,8.12274639423077
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,7.177433894230769
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,8.512920673076923
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.06024639423077
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.064302884615385
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,8.639122596153847
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.974008413461538
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,10.03155048076923
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,8.188401442307692
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.11944110576923
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.286508413461538
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,9.13055889423077
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,8.083082932692308
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,8.200721153846153
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,8.346153846153847
