model,checkpoint,textfrct_V3
allenai/OLMo-2-1124-7B,main,3.0992024739583335
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.472574869791667
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,5.982421875
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,6.369791666666667
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,7.099690755208333
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.393798828125
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,9.256754557291666
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,3.5929361979166665
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,5.664713541666667
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,4.832926432291667
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,4.968180338541667
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,10.526611328125
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,6.047526041666667
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.85986328125
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,8.032796223958334
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,8.275472005208334
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,5.161946614583333
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,6.305338541666667
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,9.618570963541666
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,5.102823893229167
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.090738932291667
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,6.01025390625
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.93359375
